N	2gram	Voloshinov_1	Stilisti
1	и в	15	42
2	как бы	11	27
3	не только	5	27
4	и т.п	2	24
5	прежде всего	11	22
6	внутренней речи	3	18
7	хотя бы	7	17
8	но и	4	15
9	то же	7	15
10	и не	16	14
11	может быть	13	12
12	не может	13	12
13	точки зрения	13	11
14	как и	6	11
15	мы уже	5	11
16	что мы	2	10
17	мы должны	7	10
18	отнюдь не	2	10
19	как мы	10	10
20	в этом	13	10
21	при этом	7	9
22	в то	6	9
23	то что	10	9
24	мы не	4	9
25	все же	5	8
26	в ней	5	8
27	таким образом	21	8
28	что же	4	8
29	в себе	4	8
30	никогда не	7	7
31	зависимости от	2	7
32	же время	5	7
33	и на	3	7
34	потому что	4	7
35	так как	9	7
36	с его	8	7
37	в зависимости	2	7
38	было бы	6	7
39	а не	2	7
40	того чтобы	2	7
41	и его	15	7
42	мы можем	12	7
43	только в	6	7
44	ничего не	2	7
45	точку зрения	4	6
46	другими словами	3	6
47	не в	4	6
48	в этой	5	6
49	в свою	2	6
50	в нем	4	6
51	во всех	8	6
52	в процессе	4	6
53	так и	10	6
54	или как	3	6
55	в области	3	6
56	в нашем	3	5
57	тому что	3	5
58	не является	3	5
59	мы видели	5	5
60	те же	4	5
61	с помощью	9	5
62	а в	6	5
63	и с	7	5
64	и наконец	10	5
65	в сознании	3	5
66	в его	9	5
67	вместе с	4	5
68	с точки	10	5
69	той же	2	5
70	слова и	2	5
71	самого начала	5	4
72	все время	4	4
73	что это	3	4
74	можно сказать	4	4
75	к тому	4	4
76	с самого	7	4
77	которой мы	3	4
78	но все	2	4
79	в качестве	2	4
80	в самом	6	4
81	один из	4	4
82	все это	5	4
83	того что	2	4
84	в обществе	2	4
85	его в	8	4
86	бы в	2	4
87	но в	9	4
88	не существует	3	4
89	если бы	3	4
90	и к	7	4
91	у нас	3	4
92	мы увидим	4	4
93	себя в	2	4
94	на него	4	4
95	если мы	5	4
96	уже не	5	4
97	самом деле	7	4
98	и пр	9	4
99	и то	2	4
100	так сказать	3	4
101	или иное	2	3
102	связанных с	4	3
103	его и	2	3
104	это не	2	3
105	главным образом	4	3
106	в целом	2	3
107	жизни и	5	3
108	от того	3	3
109	что оно	2	3
110	во второй	5	3
111	и вот	6	3
112	и даже	2	3
113	нуждается в	2	3
114	их в	2	3
115	сказать что	6	3
116	ни на	2	3
117	и все	4	3
118	в одном	3	3
119	если он	5	3
120	этом мы	3	3
121	об этом	4	3
122	в ее	4	3
123	том что	5	3
124	социальной жизни	2	3
125	еще не	7	3
126	конечно не	3	3
127	что и	2	3
128	отношения к	2	3
129	только на	2	3
130	на самом	2	3
131	что такое	3	3
132	между ними	2	3
133	и для	2	3
134	то или	2	3
135	роль в	6	3
136	выражение в	2	3
137	не знает	3	3
138	может стать	3	3
139	ответ на	2	3
140	в голову	3	2
141	в душе	13	2
142	бы и	2	2
143	связанный с	2	2
144	человека и	6	2
145	человека в	3	2
146	не всегда	4	2
147	в том	4	2
148	но это	2	2
149	для него	5	2
150	до конца	5	2
151	в него	2	2
152	но мы	2	2
153	в этих	2	2
154	отношение к	7	2
155	о них	2	2
156	в нас	2	2
157	и содержание	3	2
158	в отношении	2	2
159	человека все	2	2
160	не было	4	2
161	этом отношении	2	2
162	все эти	9	2
163	только одна	2	2
164	ведь если	2	2
165	должно быть	2	2
166	нам в	2	2
167	в своих	4	2
168	все то	2	2
169	человека с	2	2
170	я и	6	2
171	в жизни	5	2
172	в основе	3	2
173	для них	3	2
174	для всех	2	2
175	между собой	4	2
176	с этим	6	2
177	к этому	7	2
178	связанные с	2	2
179	человек не	2	2
180	что он	8	2
181	материал для	2	2
182	и при	3	2
183	но не	5	2
184	нашего сознания	3	2
185	художественное творчество	2	2
186	ни один	2	2
187	тот же	5	2
188	и потому	8	2
189	же такое	2	2
190	войти в	3	2
191	в своей	9	2
192	этот процесс	4	2
193	сих пор	3	2
194	связь с	4	2
195	как в	3	2
196	и всего	2	2
197	мы конечно	2	2
198	к нему	7	2
199	в дальнейшем	2	2
200	с ним	12	2
201	в каком	3	2
