N	2gram	Losev_Vesc_1	VerxiiNi
1	и в	21	26
2	таким образом	8	22
3	с тем	5	18
4	в этом	4	15
5	точки зрения	5	13
6	как бы	12	12
7	в том	8	11
8	может быть	16	10
9	не только	36	10
10	и с	8	10
11	что в	9	9
12	но и	18	9
13	так как	7	9
14	с другой	6	8
15	но не	5	8
16	и не	29	8
17	и у	3	8
18	том что	8	7
19	одной стороны	3	7
20	из них	4	7
21	то что	27	7
22	а с	3	7
23	с одной	3	7
24	потому что	16	7
25	но в	5	7
26	в конце	2	6
27	к тому	3	6
28	и потому	5	6
29	того же	5	6
30	всяком случае	2	6
31	что и	3	6
32	все же	4	6
33	так и	3	6
34	все это	5	6
35	в отношении	4	6
36	все эти	3	6
37	с точки	3	6
38	во всяком	3	6
39	в себе	14	6
40	мы должны	2	6
41	о том	6	6
42	крайней мере	4	5
43	в его	2	5
44	никогда не	2	5
45	а не	19	5
46	того чтобы	3	5
47	для того	2	5
48	в силу	3	5
49	и для	9	5
50	по крайней	4	5
51	и от	3	4
52	что все	2	4
53	в нем	2	4
54	в смысле	12	4
55	в самом	9	4
56	в котором	3	4
57	не может	17	4
58	и только	3	4
59	а в	4	4
60	то же	6	4
61	что оно	8	4
62	и что	15	4
63	с другими	8	4
64	ничем не	3	4
65	в то	3	4
66	только в	14	4
67	в этой	3	4
68	не менее	3	3
69	что это	13	3
70	если бы	5	3
71	так или	4	3
72	хотя бы	6	3
73	ясно что	8	3
74	можно сказать	6	3
75	для него	4	3
76	так что	5	3
77	и как	8	3
78	в своем	6	3
79	и если	2	3
80	и о	3	3
81	не вполне	2	3
82	тем не	3	3
83	с ней	2	3
84	но с	2	3
85	уже не	9	3
86	того что	8	3
87	и даже	6	3
88	то с	3	3
89	или иначе	4	3
90	с этой	4	3
91	в результате	3	3
92	а так	2	3
93	конце концов	2	3
94	в одном	2	3
95	есть как	3	2
96	ни было	4	2
97	только не	2	2
98	перестает быть	3	2
99	из себя	3	2
100	сравнению с	6	2
101	может ли	2	2
102	с именем	4	2
103	тогда когда	5	2
104	прежде всего	9	2
105	все существующее	2	2
106	в свою	4	2
107	на то	4	2
108	и здесь	4	2
109	по существу	2	2
110	то ни	4	2
111	ярко в	2	2
112	что мы	14	2
113	ли это	7	2
114	тот же	3	2
115	еще не	8	2
116	и больше	9	2
117	той или	2	2
118	но если	8	2
119	один из	3	2
120	не с	7	2
121	бы то	4	2
122	жизни и	2	2
123	то или	2	2
124	во всех	2	2
125	только что	2	2
126	отличается от	7	2
127	для этого	4	2
128	в разных	4	2
129	если не	3	2
130	у всех	3	2
131	мы имеем	7	2
132	можно только	4	2
133	в самой	2	2
134	свидетельствует о	3	2
135	и заставляет	2	2
136	сказать что	17	2
137	не в	5	2
138	мы можем	4	2
139	по своей	2	2
140	по сравнению	7	2
141	ее с	5	2
142	и все	5	2
143	так чтобы	2	2
144	и это	14	2
145	в россии	2	2
146	относится к	5	2
147	не потому	6	2
148	в виду	2	2
