N	3gram	Vygotskiy__5	EvropaiC
1	в том что	11	16
2	до сих пор	3	12
3	по отношению к	12	10
4	друг с другом	7	9
5	с точки зрения	9	8
6	друг от друга	4	6
7	для того чтобы	14	6
8	по сравнению с	5	5
9	в самом деле	2	5
10	не может быть	3	4
11	в своем развитии	4	4
12	о том что	4	4
13	с другой стороны	2	4
14	в этом случае	3	4
15	и того же	3	3
16	так же как	7	3
17	одного и того	3	3
18	таким образом в	2	3
19	и то что	2	3
20	заключается в том	5	3
21	не в состоянии	4	2
22	том что он	2	2
23	в свою очередь	3	2
24	с одной стороны	3	2
25	а с другой	2	2
26	именно потому что	2	2
27	ответить на вопрос	2	2
28	но все же	2	2
29	вместе с тем	2	2
30	ничего общего с	2	2
