N	2gram	Propp_Morf_1	VeschiIm
1	т е	21	42
2	не может	14	33
3	не только	4	31
4	может быть	52	29
5	и не	12	28
6	и в	13	26
7	то что	8	24
8	и есть	2	23
9	значит что	3	22
10	и т	41	21
11	т д	39	20
12	а не	11	20
13	что она	2	14
14	только в	2	14
15	и что	2	13
16	того что	3	13
17	было бы	3	12
18	но и	4	12
19	сказать что	2	12
20	все же	7	12
21	и ее	3	12
22	что же	2	11
23	таким образом	21	11
24	а и	3	11
25	то же	7	10
26	уже не	2	10
27	как бы	3	10
28	потому что	3	10
29	что мы	2	10
30	не значит	2	10
31	есть нечто	3	10
32	что такое	3	10
33	в том	6	9
34	бы то	3	9
35	ни было	2	9
36	прежде всего	9	9
37	то ни	3	9
38	себя и	2	8
39	на то	2	8
40	но это	6	8
41	ничего не	4	8
42	также и	4	7
43	говорить о	3	7
44	в то	3	7
45	его в	2	7
46	так как	16	7
47	если она	2	7
48	том что	4	7
49	есть и	4	7
50	и их	2	7
51	и пр	37	7
52	в этом	14	7
53	и как	5	6
54	что они	2	6
55	что в	8	6
56	но если	7	6
57	со стороны	3	6
58	в результате	7	6
59	точки зрения	2	6
60	но в	2	6
61	ясно что	5	6
62	она не	2	6
63	если мы	5	6
64	можно было	2	6
65	а если	4	6
66	не менее	5	5
67	это не	6	5
68	тем не	5	5
69	не в	3	5
70	еще не	3	5
71	а в	7	5
72	или не	3	5
73	с тем	2	5
74	если бы	2	5
75	у нас	2	5
76	это и	2	5
77	одна из	4	5
78	но не	4	5
79	в сущности	3	5
80	и для	2	5
81	собственном смысле	3	4
82	с другой	8	4
83	как же	2	4
84	независимо от	3	4
85	между собою	2	4
86	из них	3	4
87	от того	3	4
88	с этим	11	4
89	как таковая	2	4
90	о том	2	4
91	не существует	3	4
92	то это	3	4
93	как и	3	4
94	во всех	4	4
95	оно не	2	4
96	что и	7	4
97	быть и	2	4
98	даже не	3	4
99	этот вопрос	2	4
100	требует чтобы	3	4
101	с точки	2	4
102	мы не	8	4
103	тем что	4	4
104	вопрос о	7	3
105	в собственном	3	3
106	можно сказать	2	3
107	к тому	4	3
108	несмотря на	4	3
109	без всякого	2	3
110	более или	2	3
111	на этом	3	3
112	но как	2	3
113	мы имеем	9	3
114	один из	5	3
115	что он	4	3
116	мы видим	13	3
117	могла бы	4	3
118	так и	6	3
119	или менее	2	3
120	а с	2	3
121	самом деле	4	3
122	того чтобы	3	3
123	хотя бы	4	3
124	тому как	5	3
125	подобно тому	6	3
126	если это	3	3
127	на вопрос	2	2
128	мы будем	3	2
129	это уже	3	2
130	в частности	2	2
131	его и	2	2
132	тому что	4	2
133	же они	2	2
134	но все	3	2
135	и тем	2	2
136	а а	2	2
137	во втором	3	2
138	первом случае	3	2
139	так же	3	2
140	самого себя	2	2
141	в первом	3	2
142	как это	3	2
143	оно может	3	2
144	мы можем	2	2
145	на него	3	2
146	ни к	2	2
147	с собой	3	2
148	не с	2	2
149	а затем	4	2
150	то в	3	2
151	в качестве	5	2
152	наряду с	5	2
153	это так	2	2
154	но оно	2	2
155	об этом	4	2
156	он не	3	2
157	как в	3	2
158	приводит к	2	2
159	тогда как	2	2
160	как мы	6	2
161	в в	2	2
162	для того	2	2
163	к чему	3	2
164	вопрос как	2	2
165	из его	2	2
166	во всяком	2	2
167	и таким	2	2
168	ту же	2	2
169	если же	5	2
170	другой вопрос	2	2
171	не все	6	2
172	же оно	2	2
173	это было	3	2
