N	2gram	Potebnia_M_3	VrazhdaK
1	не только	21	9
2	в этом	10	8
3	и что	10	8
4	и в	30	8
5	но и	19	7
6	что в	17	7
7	то что	18	7
8	и все	3	7
9	в котором	4	6
10	в нем	9	6
11	все же	2	6
12	и даже	2	6
13	как и	10	6
14	в начале	3	6
15	и с	2	6
16	то же	23	5
17	не было	4	5
18	и не	15	5
19	у него	2	5
20	об этом	2	5
21	между тем	9	5
22	в то	10	5
23	же время	5	5
24	во многом	2	4
25	уже в	5	4
26	для нас	20	4
27	как бы	3	4
28	все это	4	4
29	целый ряд	2	4
30	что он	6	4
31	так же	3	4
32	с ним	6	4
33	может быть	28	4
34	при этом	3	4
35	несмотря на	2	4
36	о том	2	4
37	в ней	8	4
38	связи с	2	3
39	в своем	5	3
40	эти слова	2	3
41	что есть	2	3
42	к этому	3	3
43	на то	2	3
44	в том	32	3
45	и его	4	3
46	том что	18	3
47	и как	5	3
48	тем что	7	3
49	в его	4	3
50	далеко не	4	3
51	его в	3	3
52	и о	2	3
53	в чем	3	3
54	он не	4	3
55	место в	3	2
56	его с	2	2
57	а с	2	2
58	в своей	2	2
59	и это	4	2
60	время и	2	2
61	из них	6	2
62	не менее	5	2
63	вместе с	12	2
64	в них	5	2
65	столь же	4	2
66	так в	2	2
67	не может	6	2
68	а в	12	2
69	тогда как	2	2
70	таким образом	14	2
71	это в	2	2
72	но это	6	2
73	там же	6	2
74	уже не	6	2
75	при создании	2	2
76	же в	2	2
77	тем более	4	2
78	в этой	2	2
79	что я	5	2
80	и то	8	2
81	их в	2	2
82	но как	2	2
83	точки зрения	2	2
84	в свою	3	2
85	в себе	16	2
86	отношение к	2	2
87	для него	9	2
88	еще не	5	2
89	во время	2	2
90	на это	4	2
91	ответ на	3	2
92	с нею	2	2
93	том же	2	2
