N	2gram	Losev_Prob_2	Otkroven
1	и в	35	19
2	но и	16	13
3	и не	37	13
4	в этом	17	12
5	а не	10	11
6	не в	2	11
7	может быть	18	11
8	не только	24	11
9	и все	5	10
10	вопрос о	3	10
11	не было	3	9
12	потому что	13	9
13	прежде всего	11	9
14	ни с	2	7
15	лишь в	3	7
16	человек не	2	7
17	нет ничего	2	7
18	он не	2	7
19	в его	7	7
20	все это	4	6
21	как и	5	6
22	то что	38	5
23	а в	4	5
24	в том	12	5
25	в этой	9	5
26	в самом	5	5
27	он сам	3	4
28	только и	3	4
29	того чтобы	2	4
30	что не	5	4
31	все эти	7	4
32	не может	13	4
33	что в	11	4
34	к нему	2	3
35	не могут	4	3
36	в этих	4	3
37	и есть	4	3
38	мысли и	2	3
39	что он	4	3
40	того что	12	3
41	для того	3	3
42	хотя бы	12	3
43	в своих	3	3
44	еще не	10	3
45	и от	3	3
46	все что	3	3
47	и ее	2	3
48	в себе	5	3
49	было бы	8	3
50	никто не	3	3
51	о том	18	3
52	как бы	4	3
53	это за	2	3
54	это было	2	3
55	уже в	3	2
56	с которой	3	2
57	все же	8	2
58	что и	2	2
59	не есть	33	2
60	и для	6	2
61	с тем	3	2
62	можно ли	6	2
63	в истории	3	2
64	так и	7	2
65	не очень	2	2
66	в своем	4	2
67	для всякого	2	2
68	что же	9	2
69	не все	4	2
70	что все	6	2
71	все еще	4	2
72	ли сказать	2	2
73	по себе	8	2
74	же это	5	2
75	и к	3	2
76	не имеет	7	2
77	должно быть	2	2
78	что для	3	2
79	том что	19	2
80	так что	11	2
81	от самого	2	2
82	и на	5	2
83	и то	10	2
84	что они	3	2
85	сказать что	24	2
86	и с	10	2
87	учение о	2	2
88	совсем не	7	2
89	тем что	4	2
90	даже и	18	2
91	ведь это	2	2
92	разных сторон	2	2
93	мысль о	2	2
94	и все-таки	3	2
95	его в	3	2
96	отношений это	2	2
97	и ни	3	2
98	так как	7	2
99	и о	4	2
100	ничего не	10	2
101	хотя и	3	2
102	но в	6	2
