N	2gram	Potebnia_M_3	FransuaR
1	и в	30	29
2	то есть	34	21
3	таким образом	14	20
4	и не	15	16
5	и все	3	13
6	в этой	2	13
7	как и	10	12
8	так и	11	11
9	и на	3	11
10	в этом	10	11
11	то же	23	10
12	во время	2	10
13	как мы	7	10
14	мы уже	2	10
15	в то	10	10
16	не только	21	10
17	вовсе не	7	9
18	но и	19	9
19	и с	2	9
20	его в	3	9
21	же время	5	8
22	прежде всего	3	8
23	в его	4	8
24	и его	4	8
25	как бы	3	8
26	в них	5	7
27	мы видели	4	7
28	так же	3	7
29	в том	32	7
30	так как	13	7
31	из них	6	6
32	что это	4	5
33	у него	2	5
34	это и	2	5
35	и о	2	5
36	далеко не	4	5
37	в нем	9	5
38	в своей	2	5
39	и до	2	5
40	и по	4	5
41	сказать что	5	5
42	перед нами	2	4
43	в образе	3	4
44	что он	6	4
45	но это	6	4
46	по своему	2	4
47	еще не	5	4
48	и есть	3	4
49	один из	4	4
50	то что	18	4
51	жизни и	2	4
52	все это	4	4
53	этот образ	4	4
54	с другой	7	4
55	тем что	7	4
56	точки зрения	2	4
57	в которой	3	4
58	тому как	5	3
59	в своем	5	3
60	в ее	2	3
61	все же	2	3
62	но как	2	3
63	том что	18	3
64	и как	5	3
65	мы видим	2	3
66	более или	3	3
67	мы можем	3	3
68	того что	18	3
69	той же	2	3
70	он не	4	3
71	к нему	3	3
72	образом и	3	3
73	или менее	3	3
74	другой стороны	4	3
75	в разных	2	3
76	при этом	3	3
77	там же	6	3
78	образом в	3	3
79	того чтобы	3	3
80	для того	4	3
81	и даже	2	3
82	все остальные	3	3
83	в ней	8	3
84	же и	3	3
85	подобно тому	2	3
86	в себе	16	3
87	там где	3	3
88	в чем	3	3
89	место в	3	2
90	уже в	5	2
91	бы не	4	2
92	связи с	2	2
93	время и	2	2
94	к этому	3	2
95	в приведенном	2	2
96	быть может	3	2
97	это в	2	2
98	но мы	2	2
99	его к	2	2
100	а как	2	2
101	к тому	7	2
102	одной из	2	2
103	но только	2	2
104	все в	2	2
105	ни в	2	2
106	и тот	2	2
107	что я	5	2
108	что они	2	2
109	есть в	3	2
110	именно в	3	2
111	но не	7	2
112	то время	4	2
113	одной стороны	3	2
114	не может	6	2
115	и мы	2	2
116	на его	2	2
117	может быть	28	2
118	но оно	6	2
119	том же	2	2
120	у меня	2	2
121	уже не	6	2
122	в котором	4	2
123	дает нам	3	2
124	со стороны	3	2
125	с таким	2	2
126	на котором	2	2
127	в словах	3	2
128	как в	10	2
129	в их	2	2
130	в других	2	2
131	с одной	7	2
132	и наконец	2	2
133	не столько	2	2
134	друг друга	3	2
135	как на	5	2
136	в слове	32	2
137	или в	3	2
138	и то	8	2
139	то он	2	2
140	их в	2	2
141	и при	4	2
142	которое не	2	2
143	образов и	2	2
144	еще раз	2	2
145	только в	21	2
146	в один	4	2
147	но этот	2	2
148	о том	2	2
149	и это	4	2
150	здесь только	3	2
151	так сказать	2	2
152	с ним	6	2
153	в новом	2	2
