N	2gram	Bakhtin_fo_1	Tvorches
1	и в	50	21
2	как бы	2	17
3	в то	9	15
4	в его	13	13
5	то же	11	13
6	времени в	7	13
7	в романах	2	13
8	что в	5	12
9	как и	8	12
10	же время	9	12
11	то есть	33	12
12	с его	9	11
13	том что	4	11
14	в романе	32	10
15	все это	4	10
16	как в	6	8
17	он не	5	8
18	то что	6	8
19	во многом	2	7
20	у него	6	7
21	в свою	2	7
22	в том	9	7
23	при этом	3	7
24	не только	9	7
25	и не	14	7
26	и на	8	7
27	но в	10	7
28	жизни в	8	6
29	и все	6	6
30	для него	2	6
31	в котором	4	6
32	человека в	17	6
33	по природе	2	6
34	а в	3	6
35	и его	16	6
36	в этом	25	6
37	отнюдь не	5	5
38	вовсе не	13	5
39	а не	3	5
40	может быть	11	5
41	все же	6	5
42	таким образом	11	5
43	хотя бы	2	5
44	потому что	4	5
45	только в	4	5
46	в своем	4	4
47	человека и	11	4
48	прежде всего	15	4
49	и как	10	4
50	времени и	10	4
51	в целом	2	4
52	одной из	3	4
53	не имеют	3	4
54	один из	3	4
55	в своей	2	4
56	не может	6	4
57	это не	6	4
58	самим собой	2	4
59	с большой	2	4
60	в основном	5	4
61	человек по	2	4
62	место в	2	3
63	уже в	2	3
64	самого начала	2	3
65	и другие	5	3
66	никогда не	2	3
67	с другой	2	3
68	что все	2	3
69	с ним	2	3
70	с ее	6	3
71	в соответствии	2	3
72	с самого	2	3
73	в дальнейшем	6	3
74	соответствии с	2	3
75	но не	5	3
76	со всеми	3	3
77	в самом	8	3
78	той же	2	3
79	в нем	24	3
80	и т	8	3
81	жизни и	8	3
82	время в	6	3
83	но и	8	3
84	ее в	2	3
85	в их	6	3
86	во времени	3	3
87	уже не	2	3
88	и других	3	3
89	того что	2	3
90	и даже	2	3
91	и по	2	3
92	так же	6	3
93	в которой	2	3
94	и с	4	3
95	хотя и	3	3
96	ту же	2	3
97	героев и	3	3
98	далеко не	2	3
99	дело в	2	3
100	так как	6	3
101	подхода к	3	3
102	в основе	5	2
103	этом романе	2	2
104	а как	3	2
105	личности и	2	2
106	в частности	6	2
107	в этих	3	2
108	и время	2	2
109	в качестве	3	2
110	в пространстве	5	2
111	в жизни	6	2
112	к этому	3	2
113	в литературе	16	2
114	есть не	3	2
115	что и	3	2
116	влияние на	4	2
117	об этом	2	2
118	не в	5	2
119	время не	2	2
120	ее по	2	2
121	одна из	2	2
122	в глаза	2	2
123	того же	8	2
124	до конца	4	2
125	на площади	4	2
126	к тому	3	2
127	только на	3	2
128	по преимуществу	3	2
129	по самому	2	2
130	в ней	4	2
131	же и	2	2
132	к ней	2	2
133	был бы	3	2
134	здесь нет	3	2
135	вместе с	3	2
136	но она	2	2
137	к жизни	2	2
138	так и	12	2
139	во всей	3	2
140	в отличие	2	2
141	и того	6	2
142	именно в	3	2
143	этой проблемы	2	2
144	еще более	3	2
145	мы находим	2	2
146	в одно	3	2
147	что не	3	2
148	и у	5	2
149	отличие от	2	2
150	или в	3	2
151	сказать что	3	2
152	могут быть	5	2
153	но он	2	2
154	это время	7	2
155	в данном	2	2
156	в себе	3	2
157	т п	8	2
158	не знает	3	2
159	пространства и	4	2
160	героя и	7	2
161	так сказать	7	2
162	в чем	2	2
163	в виду	3	2
164	мира в	3	2
