N	2gram	Voloshinov_1	VelikijI
1	и не	8	20
2	и в	13	16
3	то что	6	9
4	так как	3	9
5	что они	2	7
6	а не	2	7
7	как бы	6	5
8	но и	3	5
9	все это	4	5
10	в нем	2	4
11	как и	3	4
12	так и	3	4
13	в этом	2	4
14	в ней	2	4
15	говорить о	3	4
16	и все	3	4
17	в его	7	4
18	что в	3	3
19	в них	2	3
20	превращается в	3	3
21	в том	2	3
22	не в	3	3
23	тот же	2	3
24	к тому	2	3
25	никогда не	3	3
26	в своей	4	3
27	лишь в	4	3
28	не имеет	2	3
29	хотя бы	5	3
30	и для	3	3
31	от этого	2	3
32	все эти	2	3
33	нет ничего	2	3
34	в чем	2	3
35	но в	4	3
36	прежде всего	9	2
37	да и	3	2
38	том что	2	2
39	для него	2	2
40	вслед за	2	2
41	не только	6	2
42	но мы	4	2
43	ее в	2	2
44	тем что	2	2
45	мы не	4	2
46	материалом для	2	2
47	а в	2	2
48	и то	3	2
49	между тем	2	2
50	могут быть	2	2
51	только в	6	2
