N	2gram	Berdyaev_N_1	Problema
1	то что	4	42
2	и в	16	32
3	и не	11	31
4	не есть	3	29
5	не менее	4	19
6	в этом	7	19
7	не только	5	17
8	потому что	4	16
9	а не	17	15
10	в себе	2	15
11	может быть	7	14
12	но в	2	14
13	в нем	5	13
14	сказать что	3	13
15	что в	9	12
16	том что	2	12
17	так и	2	12
18	и даже	2	11
19	о том	4	11
20	прежде всего	4	10
21	но не	2	9
22	в том	8	9
23	это есть	7	9
24	но и	3	9
25	и что	2	9
26	так же	2	9
27	по своему	4	9
28	еще не	3	9
29	того чтобы	2	9
30	и это	2	9
31	не может	16	8
32	все эти	2	8
33	и на	2	8
34	когда мы	2	8
35	в своей	3	8
36	но это	6	8
37	никогда не	6	7
38	ни в	6	7
39	смысле слова	3	7
40	такого рода	2	7
41	все это	5	7
42	в них	4	7
43	и все	4	7
44	во всех	3	7
45	и есть	10	6
46	хотя и	2	6
47	это не	4	6
48	как это	2	6
49	не существует	3	6
50	этом смысле	2	6
51	в то	2	6
52	за пределы	3	6
53	что такое	3	6
54	не знал	2	5
55	есть в	2	5
56	не имеют	2	5
57	что она	2	5
58	с тем	3	5
59	совсем не	12	4
60	и весь	2	4
61	не в	6	4
62	и пр	3	4
63	не было	4	4
64	а в	2	4
65	в истории	3	4
66	как в	3	4
67	перейти к	3	4
68	и для	4	4
69	с другой	3	3
70	что все	2	3
71	но для	2	3
72	хотя бы	2	3
73	но она	2	3
74	другой стороны	2	3
75	для этого	2	3
76	мы говорим	2	3
77	с этим	2	3
78	помнить что	2	3
79	в жизни	5	3
80	в ее	3	3
81	как и	7	3
82	к тому	3	3
83	он не	8	3
84	уже не	2	3
85	можно было	2	3
86	как будто	2	3
87	значит что	4	3
88	все время	2	2
89	же как	2	2
90	xix и	4	2
91	для чего	2	2
92	и начала	2	2
93	не имеет	4	2
94	должно быть	4	2
95	и с	2	2
96	и должно	2	2
97	с его	6	2
98	могут быть	2	2
99	и заключается	2	2
100	по существу	2	2
101	она не	3	2
102	не значит	3	2
103	и потому	4	2
104	нет и	2	2
105	не будет	7	2
106	вместе с	2	2
107	мы не	2	2
108	тому как	3	2
109	подобно тому	3	2
110	это было	3	2
