N	2gram	Berdyaev_V_1	Myshleni
1	в том	3	24
2	и в	16	23
3	том что	2	21
4	того чтобы	2	17
5	то что	9	17
6	в этом	4	17
7	не только	2	16
8	того что	5	15
9	что в	3	14
10	но и	5	14
11	как и	4	14
12	в его	4	14
13	как бы	5	11
14	прежде всего	2	10
15	и не	20	9
16	между тем	2	9
17	так как	9	7
18	с тем	2	7
19	что он	4	7
20	мы не	2	7
21	все это	5	6
22	лишь в	3	6
23	потому что	4	6
24	тем что	2	6
25	только в	2	6
26	тому что	3	5
27	что мы	4	5
28	и все	4	5
29	но в	3	5
30	и что	3	5
31	так и	4	5
32	но не	2	4
33	что все	4	4
34	не в	3	4
35	в котором	4	4
36	все эти	3	4
37	их в	3	4
38	с его	3	4
39	в чем	3	4
40	к тому	3	4
41	в своей	3	4
42	а с	2	4
43	хотя бы	3	4
44	ни в	3	4
45	мы и	2	3
46	что они	7	3
47	и мы	3	3
48	его не	2	3
49	превращается в	3	3
50	во всех	3	3
51	человека и	6	3
52	если не	3	3
53	а не	7	3
54	можно было	2	3
55	и то	2	3
56	которые не	2	3
57	во всяком	2	3
58	могут быть	2	3
59	и это	2	3
60	никогда не	3	2
61	в конце	3	2
62	для него	2	2
63	вместо того	2	2
64	вслед за	2	2
65	хотя и	5	2
66	не имеет	3	2
67	один из	2	2
68	не с	2	2
69	не к	2	2
70	жизни и	3	2
71	значения и	2	2
72	должно быть	3	2
73	бы и	3	2
74	а в	2	2
75	говорить о	4	2
76	в этих	3	2
77	от этого	3	2
78	в них	3	2
79	и я	4	2
80	и потому	7	2
81	всего в	2	2
82	ее в	2	2
83	мы хотим	4	2
84	уже не	2	2
85	вот почему	2	2
86	не могли	2	2
