N	2gram	Savitsky_P_1	Myslijsy
1	потому что	3	49
2	для нас	2	31
3	и в	14	24
4	может быть	5	23
5	то что	4	20
6	и не	12	19
7	а не	2	18
8	в том	9	18
9	что в	4	16
10	по себе	4	15
11	не только	17	15
12	было бы	6	13
13	не в	5	13
14	но не	3	12
15	не может	4	12
16	то же	9	12
17	если бы	4	11
18	что мы	3	11
19	мы не	3	11
20	только в	7	11
21	в себе	3	10
22	в нем	3	9
23	как бы	4	9
24	но и	6	9
25	а в	4	8
26	том что	4	8
27	в этом	10	8
28	могут быть	3	8
29	быть может	6	7
30	прежде всего	3	7
31	мысль о	2	7
32	сами по	3	7
33	во всех	2	7
34	того что	2	7
35	с этим	2	7
36	с другой	5	6
37	и как	3	6
38	в ряду	2	6
39	и т	3	6
40	не было	2	6
41	между тем	3	6
42	в то	7	6
43	не менее	2	5
44	столь же	3	5
45	есть не	2	5
46	же в	4	5
47	тот же	3	5
48	в них	2	5
49	для того	3	5
50	бы ни	2	5
51	из них	2	5
52	главным образом	2	4
53	одна из	2	4
54	и если	4	4
55	между прочим	2	4
56	в котором	4	4
57	заключает в	2	4
58	с одной	3	4
59	тем самым	3	4
60	с тем	3	4
61	но в	9	4
62	это не	3	3
63	думать что	2	3
64	хотя и	3	3
65	одной стороны	3	3
66	например в	2	3
67	вслед за	3	3
68	в ней	6	3
69	помнить что	2	3
70	если в	2	3
71	и тем	2	3
72	со стороны	2	3
73	есть нечто	2	3
74	как на	2	3
75	с ними	3	3
76	в эту	2	3
77	и есть	2	2
78	хотя бы	8	2
79	не столько	2	2
80	и это	2	2
81	в жизни	2	2
82	слова но	2	2
83	в сравнении	3	2
84	есть в	2	2
85	же время	7	2
86	было в	2	2
87	в общем	2	2
88	знать что	2	2
89	она есть	3	2
90	в его	2	2
91	и потому	4	2
92	все это	2	2
93	и других	2	2
94	должно быть	2	2
95	отношения к	2	2
96	сравнении с	3	2
97	мы должны	4	2
98	взгляда на	2	2
99	отношении к	5	2
