N	2gram	Berdyaev_M_1	PoTuStor
1	может быть	30	17
2	и в	28	16
3	прежде всего	10	9
4	в этом	20	9
5	и его	9	8
6	и с	3	8
7	точки зрения	4	8
8	не может	28	8
9	с его	3	7
10	сказать что	2	7
11	не только	29	7
12	и это	12	6
13	и к	2	6
14	для него	11	6
15	конечно не	3	6
16	отношение к	4	5
17	все эти	2	5
18	как бы	2	5
19	в него	3	5
20	в нем	13	4
21	и их	3	4
22	но и	25	4
23	все это	6	4
24	хотя бы	3	4
25	и все	10	4
26	мысли и	2	4
27	так как	3	4
28	и не	11	4
29	и на	6	4
30	в этой	6	4
31	все что	2	4
32	только в	6	4
33	его в	3	4
34	но в	7	4
35	в его	9	4
36	в этих	4	3
37	по сравнению	2	3
38	что в	10	3
39	жизни и	2	3
40	и есть	14	3
41	могут быть	2	3
42	вместе с	6	3
43	сих пор	2	3
44	отношения к	4	3
45	и вот	3	3
46	и она	2	3
47	учение о	3	3
48	в том	6	3
49	а в	4	3
50	том что	3	3
51	и как	2	3
52	с их	2	3
53	то что	5	3
54	в основе	2	3
55	на этом	3	3
56	мира и	5	3
57	и потому	10	3
58	до сих	2	3
59	не существует	2	2
60	и этот	4	2
61	нет и	5	2
62	один из	4	2
63	не могут	5	2
64	что и	4	2
65	не есть	9	2
66	влечет к	3	2
67	никогда не	14	2
68	в них	4	2
69	вообще не	2	2
70	с этой	4	2
71	и ницше	4	2
72	с этим	3	2
73	в жизни	3	2
74	быть может	7	2
75	к этому	2	2
76	не знает	4	2
77	только и	3	2
78	нет никаких	2	2
79	что он	10	2
80	у него	17	2
81	и по	4	2
82	и для	2	2
83	для нас	3	2
84	в этот	2	2
85	как и	5	2
86	мы видим	2	2
87	в глубину	5	2
88	по своему	2	2
89	он не	24	2
90	есть и	3	2
91	в каком	2	2
92	всю жизнь	4	2
93	момент в	2	2
94	в начале	2	2
95	на протяжении	2	2
96	было бы	10	2
97	и мы	2	2
98	о том	2	2
99	в самом	11	2
100	за пределы	4	2
101	в своей	15	2
102	с ним	2	2
103	в мир	3	2
104	так называемый	2	2
105	себя и	3	2
