N	2gram	Bakhtin_sl_1	OGranits
1	и в	41	13
2	и его	14	12
3	прежде всего	8	9
4	не может	14	8
5	и не	16	8
6	может быть	14	8
7	точки зрения	16	7
8	в его	13	7
9	таким образом	9	6
10	не только	16	6
11	только в	6	6
12	как бы	12	6
13	все же	7	5
14	с точки	8	5
15	языка и	12	5
16	и эта	2	5
17	хотя бы	3	5
18	в поэзии	3	5
19	и наконец	4	5
20	в процессе	4	5
21	то же	14	4
22	не является	2	4
23	в своей	7	4
24	все это	5	4
25	в каждом	4	4
26	на фоне	7	4
27	социальной группы	2	4
28	лишь в	4	4
29	мы не	2	4
30	слов и	2	4
31	было бы	3	4
32	в сознании	2	4
33	но в	8	4
34	произведения как	3	4
35	связана с	2	3
36	никогда не	3	3
37	но и	16	3
38	так и	11	3
39	в их	4	3
40	не как	4	3
41	и все	4	3
42	в одном	2	3
43	точку зрения	3	3
44	языка как	4	3
45	в ее	2	3
46	как и	4	3
47	не в	7	3
48	за пределы	4	3
49	в которой	4	3
50	и то	2	3
51	в пределах	14	3
52	одно и	2	3
53	в себе	3	3
54	с этим	3	3
55	и для	4	3
56	так как	3	3
57	слово в	10	3
58	не исчерпывается	2	2
59	и др	14	2
60	с этой	3	2
61	а как	2	2
62	и тем	2	2
63	в нем	30	2
64	к предмету	4	2
65	в целом	2	2
66	литературного языка	20	2
67	связанных с	4	2
68	данном случае	3	2
69	а не	15	2
70	в отношении	6	2
71	другой стороны	4	2
72	с другой	5	2
73	в языке	5	2
74	не на	5	2
75	в них	6	2
76	входит в	4	2
77	а в	6	2
78	с одной	4	2
79	все эти	9	2
80	вовсе не	7	2
81	те же	2	2
82	роль в	2	2
83	или иного	2	2
84	же слово	3	2
85	каждое слово	4	2
86	к тому	3	2
87	и к	5	2
88	как в	8	2
89	в том	3	2
90	наконец в	2	2
91	так же	2	2
92	поэтического языка	3	2
93	том что	2	2
94	в зависимости	3	2
95	мы видим	2	2
96	языка но	4	2
97	с ними	3	2
98	в данном	3	2
99	зависимости от	3	2
100	что они	2	2
101	в этом	12	2
102	от этого	2	2
103	между тем	2	2
104	и следовательно	7	2
105	могут быть	19	2
106	при этом	6	2
107	смысле слова	2	2
108	связанные с	3	2
109	и ее	3	2
110	для него	3	2
111	форм и	3	2
112	в другом	2	2
113	в языковом	4	2
114	более того	3	2
115	одной стороны	4	2
116	и может	3	2
117	того или	2	2
118	мы уже	2	2
119	слова и	13	2
120	в самом	5	2
121	там где	4	2
122	на язык	2	2
123	в ней	4	2
124	а также	2	2
125	и стиль	2	2
