N	2gram	Vinokur_Ku_3	Freidism
1	таким образом	9	24
2	и не	10	23
3	не может	6	20
4	точки зрения	23	19
5	прежде всего	9	18
6	и пр	3	15
7	в этом	16	15
8	в его	11	15
9	с помощью	6	14
10	может быть	14	13
11	как и	5	11
12	как бы	5	11
13	то что	4	11
14	все эти	7	11
15	с точки	16	11
16	так и	6	10
17	как мы	5	10
18	самом деле	14	10
19	его в	2	10
20	но в	2	10
21	и в	23	9
22	по отношению	3	9
23	что он	6	8
24	отношению к	2	8
25	еще не	9	8
26	в своей	4	8
27	он не	3	8
28	не только	17	8
29	все это	2	8
30	то же	6	8
31	только в	6	8
32	так как	9	8
33	ни в	3	7
34	тот же	6	7
35	во всяком	2	7
36	один из	4	7
37	мы видели	3	7
38	отношение к	3	7
39	в самом	13	7
40	что же	5	7
41	те же	7	7
42	сказать что	7	7
43	точку зрения	2	6
44	вовсе не	5	6
45	за пределы	2	6
46	того что	11	6
47	в ней	3	6
48	все те	2	6
49	так сказать	2	6
50	совершенно не	5	6
51	хотя бы	9	6
52	и с	3	6
53	на протяжении	2	6
54	и к	3	5
55	но мы	2	5
56	можно сказать	2	5
57	не в	5	5
58	в чем	5	5
59	для этого	6	5
60	в то	3	5
61	что такое	4	5
62	что в	13	5
63	но и	3	5
64	на самом	3	5
65	для того	12	5
66	а в	5	5
67	могут быть	6	5
68	в каком	3	5
69	мы должны	3	5
70	я и	3	5
71	не менее	12	4
72	но не	3	4
73	я не	5	4
74	в котором	2	4
75	в этих	2	4
76	из этих	5	4
77	в пределах	2	4
78	не дает	2	4
79	если мы	7	4
80	с другими	2	4
81	к тому	3	4
82	на этом	2	4
83	смысле слова	2	4
84	при этом	6	4
85	конечно не	2	4
86	и о	4	4
87	от того	5	4
88	как раз	4	4
89	в зависимости	7	4
90	все же	5	4
91	данном случае	4	4
92	не было	4	4
93	мы находим	3	4
94	уже не	8	4
95	того чтобы	11	4
96	той же	3	4
97	мы не	3	4
98	в таком	4	4
99	в данном	7	4
100	этот вопрос	3	4
101	потому что	12	4
102	говорить о	6	4
103	зависимости от	8	4
104	не могут	5	3
105	главным образом	2	3
106	если бы	8	3
107	и есть	5	3
108	тому что	4	3
109	на себя	2	3
110	что все	2	3
111	и как	2	3
112	но это	5	3
113	учение о	2	3
114	по своему	2	3
115	по поводу	3	3
116	она не	3	3
117	было бы	16	3
118	и тот	2	3
119	один и	2	3
120	в общем	6	3
121	ни на	2	3
122	только то	3	3
123	когда он	2	3
124	на него	3	3
125	вместе с	2	3
126	собственном смысле	2	3
127	и содержание	3	3
128	не знает	2	3
129	как в	4	3
130	мысли и	2	3
131	и вот	3	3
132	и что	7	3
133	на этот	2	3
134	мы имеем	2	3
135	такой же	2	3
136	слова и	7	3
137	зрения на	3	3
138	таком случае	2	3
139	подхода к	2	3
140	всю эту	2	2
141	в отношении	3	2
142	уже в	3	2
143	или иное	2	2
144	но все	2	2
145	что это	3	2
146	это уже	3	2
147	и об	2	2
148	в нашем	7	2
149	в какой	3	2
150	того же	4	2
151	с другой	7	2
152	это не	3	2
153	формы и	3	2
154	только о	2	2
155	тем не	9	2
156	для нас	4	2
157	в ее	4	2
158	это и	3	2
159	том что	11	2
160	из всего	2	2
161	всего этого	3	2
162	а не	11	2
163	в нашей	4	2
164	одной стороны	4	2
165	что мы	2	2
166	но для	3	2
167	но если	3	2
168	в процессе	3	2
169	относится к	2	2
170	в своем	4	2
171	точка зрения	4	2
172	что значит	4	2
173	только для	2	2
174	дело не	2	2
175	сих пор	8	2
176	все они	2	2
177	что она	5	2
178	приходит в	2	2
179	в их	6	2
180	отличается от	2	2
181	что как	3	2
182	а с	3	2
183	с одной	4	2
184	а потому	2	2
185	из того	2	2
186	в отличие	2	2
187	чтобы не	2	2
188	тем же	2	2
189	дает нам	2	2
190	так же	2	2
191	как на	8	2
192	отличие от	2	2
193	в таких	2	2
194	очень много	2	2
195	то или	2	2
196	чем же	2	2
197	может оказаться	2	2
198	они не	3	2
199	что и	6	2
200	и при	2	2
201	к его	2	2
202	но как	3	2
203	в первом	5	2
204	до сих	8	2
205	тех же	4	2
206	когда мы	3	2
207	как это	7	2
208	в области	14	2
209	в виду	8	2
