N	2gram	Tiupa_Narr_1	KFilosof
1	может быть	25	43
2	в его	9	39
3	в нем	4	31
4	не может	10	27
5	и не	20	26
6	по отношению	7	25
7	и в	19	22
8	отношению к	6	21
9	в себе	8	21
10	не есть	3	19
11	в ее	3	17
12	а не	12	17
13	и его	5	17
14	только в	4	16
15	точки зрения	10	13
16	в этом	17	13
17	ни в	3	12
18	для него	2	12
19	но не	5	12
20	все эти	2	11
21	не в	14	11
22	к нему	5	11
23	в своем	2	10
24	это не	2	10
25	с точки	2	10
26	но и	23	9
27	как бы	4	9
28	и все	2	9
29	и для	2	9
30	не было	2	8
31	было бы	4	8
32	жизни и	3	8
33	со стороны	9	8
34	то что	11	7
35	себя в	5	7
36	в себя	6	7
37	в том	18	6
38	отношение к	2	6
39	и только	2	6
40	в мире	9	6
41	отнюдь не	5	6
42	совершенно не	2	6
43	он не	3	6
44	уже не	5	6
45	отвлечении от	2	6
46	мира в	5	6
47	никогда не	3	5
48	хотя бы	4	5
49	то же	4	5
50	его как	2	5
51	но все	4	5
52	в отвлечении	2	5
53	именно в	6	5
54	не имеет	2	5
55	в основе	5	5
56	но как	2	5
57	его в	2	5
58	событие в	2	5
59	но в	6	5
60	жизни в	3	5
61	как и	7	5
62	не только	32	5
63	все же	7	5
64	бытия в	3	5
65	мы имеем	2	5
66	жизни как	3	5
67	времени и	7	4
68	что в	3	4
69	ни было	3	4
70	при этом	9	4
71	ценностного центра	2	4
72	между тем	3	4
73	бы быть	3	4
74	не как	2	4
75	мира и	2	4
76	том что	14	4
77	о нем	4	4
78	во всей	2	4
79	а в	11	4
80	тем самым	6	4
81	и т.д	7	4
82	независимо от	2	3
83	должна быть	2	3
84	с человеком	2	3
85	что это	3	3
86	не менее	3	3
87	в свою	3	3
88	и тем	4	3
89	и на	3	3
90	в ней	3	3
91	в то	3	3
92	события в	2	3
93	того или	2	3
94	о том	6	3
95	или иного	2	3
96	еще не	7	3
97	нет и	2	3
98	как событие	3	3
99	бы не	2	3
100	самом деле	2	3
101	что не	4	3
102	тем что	3	3
103	могут быть	3	3
104	здесь не	4	3
105	ничего не	2	3
106	может не	3	2
107	или иное	2	2
108	а с	3	2
109	то ни	3	2
110	та же	2	2
111	прежде всего	4	2
112	или иной	5	2
113	ему в	2	2
114	тем не	3	2
115	и как	5	2
116	основе своей	4	2
117	чтобы стать	2	2
118	же время	4	2
119	не о	3	2
120	вокруг него	2	2
121	себя и	2	2
122	постольку поскольку	2	2
123	его жизни	2	2
124	по себе	5	2
125	как к	2	2
126	в принципе	4	2
127	а по	2	2
128	к себе	5	2
129	той или	4	2
130	говорить о	2	2
131	с его	6	2
132	что он	6	2
133	не будет	3	2
134	бы то	3	2
135	в качестве	21	2
136	всех его	2	2
137	имеют место	2	2
138	и тот	2	2
139	к содержанию	3	2
140	и когда	2	2
141	и потому	2	2
142	этого слова	2	2
143	жизни но	2	2
144	оно не	2	2
145	так и	9	2
146	как в	7	2
147	дело с	2	2
148	если не	4	2
149	это и	3	2
150	сводится к	3	2
151	то или	3	2
152	в данном	5	2
153	всей его	2	2
154	всей своей	2	2
155	в этой	5	2
156	в области	2	2
