N	2gram	Losev_Vlad_2	Stilisti
1	и в	30	42
2	как бы	5	27
3	не только	12	27
4	прежде всего	6	22
5	хотя бы	3	17
6	но и	8	15
7	то же	4	15
8	и не	18	14
9	может быть	7	12
10	не может	9	12
11	точки зрения	7	11
12	как и	5	11
13	мы уже	2	11
14	и как	3	10
15	мы должны	4	10
16	как мы	11	10
17	в этом	20	10
18	при этом	5	9
19	в то	9	9
20	то что	20	9
21	для того	2	9
22	мы не	2	9
23	все же	9	8
24	в ней	4	8
25	таким образом	3	8
26	с тем	2	8
27	что же	8	8
28	в себе	6	8
29	и это	3	8
30	никогда не	7	7
31	и от	2	7
32	же время	3	7
33	и на	4	7
34	потому что	9	7
35	так как	5	7
36	с его	4	7
37	было бы	9	7
38	а не	7	7
39	того чтобы	2	7
40	и его	6	7
41	только в	6	7
42	в которой	4	7
43	ничего не	2	7
44	другими словами	5	6
45	мы будем	3	6
46	не в	9	6
47	в этой	4	6
48	в свою	3	6
49	на его	4	6
50	в конце	13	6
51	когда мы	3	6
52	в нем	4	6
53	во всех	3	6
54	так и	5	6
55	или как	2	6
56	в области	3	6
57	уже в	3	5
58	своей жизни	3	5
59	мы видели	2	5
60	те же	3	5
61	а в	11	5
62	и с	14	5
63	и наконец	4	5
64	как это	7	5
65	в его	11	5
66	вместе с	8	5
67	в той	2	5
68	с точки	3	5
69	той же	4	5
70	у которого	2	5
71	что это	4	4
72	само собой	3	4
73	можно сказать	4	4
74	к тому	2	4
75	которой мы	2	4
76	но все	2	4
77	свою очередь	2	4
78	в самом	2	4
79	все это	5	4
80	того что	5	4
81	так же	4	4
82	о том	4	4
83	его в	4	4
84	но в	8	4
85	и к	6	4
86	у нас	6	4
87	себя в	2	4
88	уже не	3	4
89	можно было	2	4
90	и то	5	4
91	то есть	7	4
92	будем говорить	2	3
93	его и	2	3
94	это не	2	3
95	для нас	7	3
96	здесь мы	3	3
97	но что	5	3
98	в будущем	2	3
99	не мог	8	3
100	хотя и	6	3
101	в котором	5	3
102	в целом	4	3
103	жизни и	6	3
104	во второй	2	3
105	и вот	3	3
106	и даже	10	3
107	их в	2	3
108	сказать что	11	3
109	в начале	4	3
110	но вот	3	3
111	в виду	2	3
112	и все	7	3
113	об этом	6	3
114	том что	12	3
115	о своем	2	3
116	конечно не	4	3
117	что и	3	3
118	отношения к	3	3
119	да и	3	3
120	если не	2	3
121	и для	3	3
122	конце концов	3	3
123	связи с	8	3
124	в частности	2	2
125	в том	18	2
126	но это	4	2
127	для него	9	2
128	до конца	7	2
129	и сам	2	2
130	несмотря на	4	2
131	себе и	2	2
132	в этих	4	2
133	отношение к	4	2
134	не говоря	3	2
135	в связи	8	2
136	в отношении	3	2
137	не было	10	2
138	еще и	6	2
139	все эти	5	2
140	и больше	3	2
141	должно быть	3	2
142	его не	2	2
143	в своих	2	2
144	также и	6	2
145	он сказал	3	2
146	даже и	3	2
147	был и	3	2
148	что эти	2	2
149	нет ничего	3	2
150	я и	2	2
151	однако в	2	2
152	с этим	5	2
153	себе в	2	2
154	к этому	6	2
155	человек не	2	2
156	что он	13	2
157	на первый	2	2
158	ли он	2	2
159	только тогда	2	2
160	а к	2	2
161	и при	2	2
162	но не	3	2
163	по своему	2	2
164	тот же	5	2
165	и потому	2	2
166	гораздо более	2	2
167	не есть	4	2
168	в своей	5	2
169	с ней	2	2
170	бытия в	2	2
171	как в	3	2
172	и всего	2	2
173	здесь не	4	2
174	из трех	3	2
175	и он	4	2
176	к нему	2	2
177	в дальнейшем	5	2
178	с ним	5	2
179	собой разумеется	3	2
180	и вообще	10	2
