N	2gram	Ircho_Kome_1	Otkroven
1	у него	3	22
2	и в	22	19
3	но и	11	13
4	и не	8	13
5	в этом	3	12
6	не в	6	11
7	может быть	9	11
8	не только	10	11
9	и все	3	10
10	вопрос о	3	10
11	в нем	4	10
12	потому что	5	9
13	прежде всего	5	9
14	он был	2	8
15	но он	2	7
16	до конца	2	7
17	он не	3	7
18	в его	5	7
19	все это	5	6
20	как и	9	6
21	то что	2	5
22	до самого	2	5
23	а в	6	5
24	отношение к	3	5
25	в том	11	5
26	в этой	7	5
27	в самом	2	5
28	т е	13	4
29	и его	8	4
30	не может	2	4
31	что в	6	4
32	к нему	2	3
33	и вот	4	3
34	что он	6	3
35	в своих	2	3
36	еще не	2	3
37	могут быть	3	3
38	все что	2	3
39	и ее	3	3
40	в себе	2	3
41	было бы	2	3
42	о том	8	3
43	уже в	5	2
44	все же	3	2
45	что и	4	2
46	ее в	2	2
47	в истории	5	2
48	всего в	3	2
49	так и	5	2
50	что у	2	2
51	к этому	4	2
52	самого конца	2	2
53	в которой	6	2
54	в других	2	2
55	том что	12	2
56	в другом	4	2
57	и на	3	2
58	из всего	2	2
59	что они	4	2
60	и с	3	2
61	совсем не	2	2
62	тем что	4	2
63	его в	3	2
64	так как	4	2
65	и о	3	2
66	ничего не	3	2
67	и из	2	2
68	хотя и	3	2
69	которую он	2	2
70	к ней	2	2
71	но в	4	2
