N	2gram	Potebnia_M_3	Hudozhes
1	том что	18	16
2	и в	30	14
3	так и	11	13
4	а не	15	12
5	в том	32	12
6	не только	21	12
7	при этом	3	12
8	о том	2	12
9	прежде всего	3	11
10	и т	5	11
11	в этом	10	11
12	в себе	16	11
13	для него	9	10
14	в своей	2	10
15	у него	2	9
16	что он	6	9
17	как и	10	9
18	то же	23	9
19	как в	10	8
20	то что	18	8
21	же время	5	8
22	отношению к	5	8
23	по отношению	5	8
24	т п	2	8
25	между тем	9	8
26	в этой	2	8
27	в то	10	8
28	в его	4	8
29	быть может	3	7
30	к тому	7	7
31	уже не	6	7
32	не в	15	7
33	еще не	5	7
34	как бы	3	7
35	не может	6	7
36	именно в	3	7
37	а в	12	7
38	тогда как	2	7
39	что в	17	6
40	было бы	9	6
41	не менее	5	5
42	перед нами	2	5
43	об этом	2	5
44	может быть	28	5
45	только в	21	5
46	но и	19	5
47	жизни и	2	5
48	самом деле	2	5
49	друг друга	3	5
50	и его	4	5
51	потому что	46	5
52	ни в	2	5
53	точки зрения	2	5
54	связи с	2	4
55	тому что	3	4
56	в своем	5	4
57	столь же	4	4
58	та же	2	4
59	и от	4	4
60	и все	3	4
61	на то	2	4
62	можно сказать	3	4
63	а только	3	4
64	т с	22	4
65	тем не	3	4
66	она не	2	4
67	в действительности	5	4
68	несмотря на	2	4
69	мы уже	2	4
70	в самом	8	4
71	и о	2	4
72	в ней	8	4
73	один из	4	4
74	что она	3	4
75	из них	6	4
76	не было	4	4
77	человеческой жизни	3	4
78	того что	18	4
79	только что	8	4
80	он не	4	4
81	и это	4	4
82	с ним	6	4
83	и с	2	4
84	но не	7	3
85	если бы	12	3
86	с этим	6	3
87	же в	2	3
88	это в	2	3
89	как мы	7	3
90	в ее	2	3
91	говорить о	3	3
92	от него	2	3
93	по своему	2	3
94	что при	3	3
95	даже в	2	3
96	для себя	3	3
97	в нем	9	3
98	все же	2	3
99	со стороны	3	3
100	то и	6	3
101	т д	3	3
102	этом отношении	2	3
103	того чтобы	3	3
104	и даже	2	3
105	и по	4	3
106	в таком	3	3
107	тем что	7	3
108	и на	3	3
109	его в	3	3
110	том как	3	3
111	в человеке	3	2
112	глядя на	2	2
113	каждого из	2	2
114	себя и	4	2
115	так или	2	2
116	так в	2	2
117	мысли о	2	2
118	не столько	2	2
119	произведения не	2	2
120	и потому	4	2
121	по себе	16	2
122	к своему	2	2
123	или с	2	2
124	от другой	2	2
125	так что	7	2
126	ему не	2	2
127	и что	10	2
128	в целом	3	2
129	одной из	2	2
130	например в	6	2
131	на его	2	2
132	только на	3	2
133	в начале	3	2
134	говоря о	4	2
135	никак не	3	2
136	на стороне	2	2
137	его жизни	2	2
138	не знаем	3	2
139	сих пор	3	2
140	на него	3	2
141	в форме	2	2
142	что художественное	2	2
143	что же	2	2
144	в их	2	2
145	все это	4	2
146	заключает в	5	2
147	а и	4	2
148	а с	2	2
149	не знает	3	2
150	все равно	4	2
151	с и	3	2
152	и не	15	2
153	там же	6	2
154	только потому	3	2
155	в системе	2	2
156	что не	8	2
157	в речи	2	2
158	не имеет	6	2
159	должно быть	5	2
160	слово не	5	2
161	той же	2	2
162	с этой	2	2
163	эти слова	2	2
164	еще раз	2	2
165	что я	5	2
166	за ним	3	2
167	слова в	7	2
168	впрочем и	2	2
169	не следует	5	2
170	его я	3	2
171	но как	2	2
172	так сказать	2	2
173	заметить что	3	2
174	которая не	2	2
175	я и	3	2
176	мы не	9	2
177	до сих	3	2
