N	2gram	Tiupa_Vved_1	Problemy
1	и в	13	34
2	и не	12	29
3	как бы	4	27
4	в его	4	22
5	может быть	18	19
6	в нем	5	19
7	не может	7	19
8	и все	4	19
9	как и	11	18
10	но в	6	16
11	и его	5	16
12	в этом	21	16
13	и с	2	15
14	прежде всего	7	15
15	он не	3	15
16	то же	5	14
17	самом деле	3	13
18	для него	3	13
19	но и	19	12
20	же время	3	12
21	и к	2	12
22	потому что	5	12
23	в то	4	12
24	то что	6	11
25	на самом	4	11
26	не только	20	10
27	не в	6	9
28	а не	15	9
29	героя и	3	9
30	никогда не	4	8
31	в самом	2	8
32	с ним	3	8
33	что же	3	8
34	и для	3	8
35	слова в	2	7
36	что в	3	7
37	все же	6	7
38	на него	2	7
39	как мы	3	7
40	как будто	4	7
41	в пределах	2	6
42	отношение к	2	6
43	и на	3	6
44	отношению к	7	6
45	так и	8	6
46	в себе	5	6
47	только в	6	6
48	это не	6	5
49	и от	2	5
50	к тому	6	5
51	того что	6	5
52	в целом	3	5
53	по отношению	7	5
54	таким образом	4	5
55	лишь в	2	5
56	а в	6	5
57	чужого слова	3	5
58	и наконец	2	5
59	он и	2	5
60	что и	2	5
61	в слове	3	5
62	но на	2	4
63	с другой	5	4
64	но это	3	4
65	при этом	26	4
66	не о	2	4
67	его с	2	4
68	в начале	3	4
69	если бы	7	4
70	как раз	2	4
71	но не	5	4
72	еще не	7	4
73	бы и	4	4
74	как в	4	4
75	все равно	2	4
76	в мире	8	4
77	тем что	2	4
78	не менее	4	3
79	в том	10	3
80	до конца	3	3
81	хотя и	7	3
82	в котором	8	3
83	мы видели	2	3
84	жизни и	7	3
85	другой стороны	2	3
86	в одной	2	3
87	их в	2	3
88	в ней	4	3
89	говорить о	2	3
90	в высшей	2	3
91	как он	2	3
92	бы в	3	3
93	установкой на	2	3
94	не как	2	3
95	по себе	2	3
96	том что	7	3
97	по своему	2	3
98	еще в	2	3
99	в своей	5	3
100	а с	2	3
101	сводится к	4	3
102	без исключения	2	3
103	высшей степени	2	3
104	далеко не	4	3
105	не было	2	2
106	о них	3	2
107	вследствие этого	3	2
108	появляется в	2	2
109	или иной	3	2
110	тем не	3	2
111	мы и	2	2
112	с человеком	2	2
113	например в	2	2
114	что такое	18	2
115	при всей	2	2
116	не является	3	2
117	один из	3	2
118	в этот	2	2
119	в своем	5	2
120	те же	2	2
121	той или	3	2
122	о том	5	2
123	рассказ в	2	2
124	к которому	2	2
125	отнюдь не	7	2
126	однако в	4	2
127	в них	2	2
128	в жизни	4	2
129	не с	3	2
130	точек зрения	2	2
131	как его	2	2
132	и того	2	2
133	а к	3	2
134	ли это	2	2
135	было бы	4	2
136	во всех	2	2
137	как для	2	2
138	своего рода	10	2
139	быть и	2	2
140	так в	4	2
141	в отличие	2	2
142	бы не	2	2
143	тому же	4	2
144	в той	4	2
145	уже не	5	2
146	тому как	2	2
147	пока еще	4	2
148	между двумя	3	2
149	подобно тому	2	2
150	всей своей	2	2
151	сохраняется и	2	2
152	будто бы	3	2
153	так сказать	2	2
154	отличие от	2	2
155	о чем	2	2
