N	3gram	Vinokur_Ku_1	Myslijsy
1	в том что	15	13
2	по отношению к	8	13
3	не может быть	3	9
4	тем не менее	4	6
5	только в том	3	6
6	что язык есть	2	5
7	с другой стороны	6	5
8	не в том	4	4
9	в свою очередь	3	4
10	потому что не	2	4
11	и т д	14	4
12	в этом смысле	3	4
13	то же время	2	3
14	мы увидим что	2	3
15	на язык как	2	3
16	так и в	2	3
17	с точки зрения	9	3
18	в то же	2	3
19	по мере того	3	3
20	мере того как	3	3
21	а в том	2	3
22	и того же	2	2
23	по крайней мере	5	2
24	к тому что	2	2
25	в том и	2	2
26	и потому что	2	2
27	одного и того	2	2
28	и т п	18	2
29	только потому что	6	2
30	для того чтобы	15	2
