N	2gram	Losev_Vlad_3	Tvorches
1	и в	40	20
2	в году	10	16
3	не только	25	13
4	никогда не	11	11
5	как бы	3	11
6	в его	14	10
7	таким образом	11	10
8	в то	7	10
9	там же	7	9
10	и его	10	9
11	и не	25	9
12	же с	7	9
13	прежде всего	10	8
14	в том	18	8
15	при этом	3	8
16	но и	18	8
17	может быть	8	8
18	в этом	16	8
19	и с	9	8
20	это не	3	7
21	же время	2	7
22	наряду с	2	7
23	что в	17	7
24	не может	14	7
25	то же	4	7
26	потому что	11	7
27	м с	2	7
28	xix века	6	7
29	у него	24	6
30	в конце	12	6
31	что он	5	6
32	как и	7	6
33	в целом	2	6
34	в своей	9	6
35	так и	6	6
36	именно в	3	6
37	а не	8	6
38	в основном	4	6
39	в мире	2	5
40	но это	6	5
41	еще не	4	5
42	но не	4	5
43	все же	4	5
44	и даже	6	5
45	так же	8	5
46	и на	6	5
47	в этой	8	5
48	о том	11	5
49	то есть	24	5
50	об этом	6	4
51	и от	6	4
52	в духе	3	4
53	мы не	2	4
54	том что	18	4
55	в дальнейшем	4	4
56	отнюдь не	5	4
57	января года	4	4
58	хотя и	7	4
59	что она	2	4
60	но у	2	4
61	если не	6	4
62	все эти	5	4
63	тем самым	2	4
64	не в	3	4
65	а в	7	4
66	в чем	3	4
67	и потому	10	4
68	ничего не	5	4
69	если бы	3	4
70	но в	4	4
71	а с	4	3
72	он сам	2	3
73	же как	3	3
74	с этой	2	3
75	человека и	3	3
76	к этому	2	3
77	для него	8	3
78	одной из	2	3
79	в самом	4	3
80	он не	8	3
81	в котором	4	3
82	не является	2	3
83	в нем	3	3
84	то что	28	3
85	но уже	2	3
86	и это	6	3
87	вместе с	7	3
88	в их	2	3
89	по мнению	4	3
90	с большим	3	3
91	так как	7	3
92	уже не	9	3
93	в таком	3	3
94	тем что	5	3
95	в своих	7	3
96	в себе	9	3
97	в начале	2	3
98	его в	2	3
99	нет ничего	2	3
100	ни к	2	2
101	уже в	3	2
102	не менее	9	2
103	т ii	2	2
104	с другой	5	2
105	соловьев в	8	2
106	в одном	5	2
107	я не	3	2
108	вовсе не	13	2
109	в этот	2	2
110	во всяком	3	2
111	письма т	2	2
112	такой же	4	2
113	что на	2	2
114	что его	2	2
115	тому же	5	2
116	у нас	5	2
117	так что	14	2
118	а скорее	2	2
119	и если	7	2
120	но если	5	2
121	всяком случае	3	2
122	него в	4	2
123	по преимуществу	2	2
124	в истории	5	2
125	на него	2	2
126	в отличие	3	2
127	не было	5	2
128	сводится к	3	2
129	всякого рода	3	2
130	и что	8	2
131	во что	2	2
132	и у	3	2
133	и наконец	2	2
134	другой стороны	2	2
135	не так	3	2
136	и по	2	2
137	во многом	2	2
138	друг друга	2	2
139	роль в	2	2
140	философии но	4	2
141	тут же	5	2
142	не столько	3	2
143	что этот	3	2
144	из них	2	2
145	в виде	13	2
146	в которой	2	2
147	и еще	2	2
148	он всегда	2	2
149	и вообще	3	2
150	и только	3	2
151	только в	13	2
152	при помощи	4	2
153	таком случае	2	2
154	в россии	3	2
155	из этого	2	2
156	только с	2	2
157	едва ли	11	2
158	отличие от	3	2
159	вообще говоря	2	2
160	тоже не	5	2
161	же не	2	2
