N	2gram	Vinokur_St_1	Problema
1	и в	44	44
2	вовсе не	19	37
3	и не	16	35
4	то есть	2	34
5	может быть	15	28
6	потому что	6	25
7	то что	18	23
8	в том	36	21
9	только в	10	19
10	а не	16	18
11	в этом	21	17
12	для нас	7	16
13	также и	9	16
14	сказать что	7	16
15	даже и	2	16
16	и даже	5	14
17	не только	18	14
18	и то	5	14
19	не в	12	13
20	и т	30	13
21	т д	21	13
22	то же	5	13
23	так что	6	12
24	но в	10	12
25	том что	29	12
26	не является	3	11
27	не менее	5	10
28	то это	3	10
29	но и	10	10
30	у нас	11	10
31	как и	9	10
32	тем не	2	10
33	так и	9	10
34	это не	8	9
35	и тем	3	9
36	в нем	5	9
37	не имеет	4	9
38	и с	3	9
39	как бы	4	9
40	так как	5	9
41	что он	10	9
42	в то	9	9
43	в его	9	9
44	что и	6	9
45	в данном	14	9
46	во всяком	6	9
47	и это	2	9
48	таким образом	7	9
49	что в	30	8
50	ни в	3	8
51	а именно	3	8
52	того что	9	8
53	что мы	5	8
54	при помощи	2	8
55	но это	6	8
56	было бы	17	8
57	он не	2	8
58	что же	6	8
59	как раз	4	8
60	в себе	2	8
61	и вообще	3	8
62	с другой	9	7
63	данном случае	6	7
64	не может	8	7
65	еще и	2	7
66	все эти	5	7
67	мы находим	4	7
68	и что	4	7
69	это и	4	7
70	и потому	2	7
71	на самом	6	7
72	мы не	2	7
73	ничего общего	3	7
74	значит что	3	7
75	никогда не	5	6
76	для этого	2	6
77	но если	4	6
78	всяком случае	6	6
79	в целом	5	6
80	такого рода	2	6
81	жизни и	5	6
82	и только	3	6
83	того или	4	6
84	у пушкина	8	6
85	ясно что	10	6
86	о том	17	6
87	все же	8	6
88	в виде	3	6
89	не было	4	5
90	в конце	3	5
91	крайней мере	2	5
92	да и	3	5
93	что они	7	5
94	как о	2	5
95	и сам	2	5
96	в ней	3	5
97	другой стороны	7	5
98	все это	5	5
99	в своем	2	5
100	и вполне	3	5
101	а в	17	5
102	точки зрения	11	5
103	что здесь	2	5
104	по крайней	2	5
105	этом случае	2	5
106	в таком	3	5
107	еще не	3	5
108	за пределы	2	5
109	гораздо более	4	5
110	в своей	6	5
111	как в	13	5
112	так же	5	5
113	тем самым	2	5
114	и его	8	5
115	этого слова	2	5
116	можно ли	4	4
117	тому что	3	4
118	при этом	2	4
119	время как	2	4
120	совершенно не	5	4
121	ни с	3	4
122	и без	3	4
123	языка и	4	4
124	заключается в	4	4
125	д и	2	4
126	есть только	2	4
127	же и	4	4
128	же касается	3	4
129	как иначе	2	4
130	то время	2	4
131	а также	2	4
132	в ее	4	4
133	это вовсе	2	4
134	только с	2	4
135	на этот	3	4
136	в чем	3	4
137	можно было	13	4
138	тем что	5	4
139	в каком	3	4
140	дело в	6	4
141	уже в	2	3
142	же как	3	3
143	что это	4	3
144	имеет ничего	2	3
145	что у	4	3
146	прежде всего	7	3
147	на то	4	3
148	в тех	3	3
149	без всякого	2	3
150	но все	4	3
151	в этой	11	3
152	для него	6	3
153	случае не	2	3
154	в самом	7	3
155	в первую	2	3
156	пушкина и	13	3
157	и такие	2	3
158	отношения к	2	3
159	и очень	4	3
160	что для	3	3
161	с этой	3	3
162	в которых	5	3
163	свою собственную	2	3
164	ни на	2	3
165	его в	2	3
166	том смысле	2	3
167	могло бы	2	3
168	если бы	9	3
169	или иного	4	3
170	об этом	3	3
171	говорить о	2	3
172	то в	3	3
173	тем более	4	3
174	но не	3	3
175	а то	2	3
176	в качестве	4	3
177	первую очередь	2	3
178	она не	2	3
179	общего с	3	3
180	не значит	3	3
181	быть и	2	3
182	если не	2	3
183	и все	2	3
184	из того	2	3
185	в той	6	3
186	самом деле	11	3
187	и тогда	2	3
188	хотя бы	6	3
189	то или	3	3
190	этот вопрос	4	3
191	как будто	4	3
192	будто бы	3	3
193	есть в	2	3
194	ничего не	2	3
195	этот раз	2	3
196	или иное	3	2
197	именно в	6	2
198	в частности	4	2
199	в этих	2	2
200	в отношении	9	2
201	того же	3	2
202	никто не	4	2
203	но также	9	2
204	что все	2	2
205	и можно	2	2
206	всех этих	2	2
207	до сих	7	2
208	является не	4	2
209	совсем не	2	2
210	по поводу	7	2
211	тем же	3	2
212	в котором	5	2
213	при таком	2	2
214	из них	8	2
215	и за	3	2
216	по мнению	3	2
217	с одной	3	2
218	что оно	3	2
219	ведь если	2	2
220	и по	5	2
221	в результате	3	2
222	в основе	3	2
223	с этим	3	2
224	в начале	3	2
225	с которыми	2	2
226	как это	4	2
227	мы имеем	2	2
228	в наших	2	2
229	гораздо больше	2	2
230	том как	4	2
231	произведения в	2	2
232	а как	2	2
233	нисколько не	2	2
234	и более	2	2
235	это в	4	2
236	бы мы	2	2
237	и во	2	2
238	быть в	2	2
239	очень мало	3	2
240	по существу	2	2
241	литературы и	2	2
242	что при	2	2
243	но именно	2	2
244	не имели	2	2
245	не являются	3	2
246	между прочим	2	2
247	во всех	8	2
248	в слове	5	2
249	для себя	3	2
250	дело не	4	2
251	сих пор	7	2
252	даже не	4	2
253	самого же	2	2
254	а с	3	2
255	и у	2	2
256	и для	3	2
257	с точки	8	2
258	это можно	3	2
259	но с	3	2
260	могут быть	5	2
261	в другом	3	2
262	в которой	4	2
