N	2gram	Medvedev_F_2	VelikijI
1	и не	20	20
2	и в	38	16
3	то что	6	9
4	так как	4	9
5	в истории	6	8
6	что они	4	7
7	а не	6	7
8	не есть	3	6
9	хотя и	3	5
10	как бы	4	5
11	но и	13	5
12	все это	3	5
13	того что	3	5
14	что он	5	4
15	в нем	13	4
16	как и	9	4
17	в котором	2	4
18	так и	8	4
19	что не	4	4
20	потому что	2	4
21	в этом	27	4
22	в ней	6	4
23	говорить о	5	4
24	и все	3	4
25	в его	10	4
26	с его	11	3
27	должна быть	5	3
28	что в	7	3
29	по этому	2	3
30	в этих	2	3
31	превращается в	2	3
32	в конце	2	3
33	ни в	2	3
34	в том	11	3
35	не в	15	3
36	но это	2	3
37	к тому	4	3
38	во всех	5	3
39	никогда не	2	3
40	оно не	4	3
41	то это	3	3
42	что и	8	3
43	жизни и	3	3
44	в своей	7	3
45	тому что	2	3
46	не было	6	3
47	лишь в	7	3
48	не имеет	2	3
49	хотя бы	6	3
50	и для	5	3
51	должно быть	2	3
52	их в	2	3
53	от этого	3	3
54	в первый	5	3
55	все эти	6	3
56	в чем	2	3
57	но в	4	3
58	и теперь	4	2
59	не могут	7	2
60	с тем	11	2
61	это не	2	2
62	прежде всего	15	2
63	ее и	2	2
64	том что	2	2
65	а к	2	2
66	от него	2	2
67	но не	2	2
68	не к	2	2
69	для него	7	2
70	для них	3	2
71	того чтобы	3	2
72	не только	9	2
73	значения и	2	2
74	не могли	2	2
75	один из	2	2
76	и т	14	2
77	не будет	2	2
78	ее в	2	2
79	всего в	2	2
80	т д	5	2
81	тем что	8	2
82	мы не	3	2
83	уже не	7	2
84	материалом для	3	2
85	не так	2	2
86	его не	2	2
87	а в	6	2
88	с ним	2	2
89	чтобы сделать	2	2
90	и то	2	2
91	между тем	2	2
92	является в	2	2
93	могут быть	6	2
94	только в	6	2
95	от этих	2	2
96	и это	2	2
97	во всяком	5	2
