N	2gram	Vinokur_Ku_3	Literetu
1	не только	17	24
2	при этом	6	19
3	в качестве	2	17
4	но и	3	17
5	а не	11	16
6	в том	22	16
7	в частности	2	15
8	том что	11	14
9	может быть	14	13
10	и не	10	12
11	в этом	16	12
12	состоит в	2	11
13	прежде всего	9	11
14	в своем	4	11
15	своего рода	2	11
16	то что	4	10
17	не в	5	8
18	в целом	4	8
19	и в	23	8
20	только в	6	8
21	как это	7	8
22	не менее	12	7
23	я не	5	7
24	в его	11	7
25	как бы	5	7
26	уже не	8	7
27	русской классической	2	7
28	я и	3	7
29	в рамках	5	6
30	и я	2	6
31	как и	5	6
32	связи с	6	6
33	того что	11	6
34	точки зрения	23	6
35	xix века	3	6
36	с этой	3	5
37	что он	6	5
38	я в	3	5
39	а также	4	5
40	как в	4	5
41	не может	6	5
42	то же	6	5
43	в отличие	2	5
44	уже в	3	5
45	тем самым	4	5
46	в данном	7	5
47	не столько	4	5
48	в то	3	5
49	отличие от	2	5
50	для этого	6	4
51	столь же	4	4
52	это не	3	4
53	в силу	6	4
54	но не	3	4
55	еще не	9	4
56	и тем	6	4
57	все же	5	4
58	по преимуществу	3	4
59	в своей	4	4
60	данном случае	4	4
61	так и	6	4
62	в связи	5	4
63	лишь в	8	4
64	как раз	4	4
65	не как	2	4
66	не было	4	3
67	что в	13	3
68	и есть	5	3
69	с другой	7	3
70	в пределах	2	3
71	в самом	13	3
72	один из	4	3
73	в их	6	3
74	по отношению	3	3
75	бы не	3	3
76	а в	5	3
77	таким образом	9	3
78	еще и	2	3
79	более чем	2	3
80	тем же	2	3
81	той же	3	3
82	потому что	12	3
83	во всяком	2	3
84	но в	2	3
85	классической литературы	2	3
86	также и	5	3
87	далеко не	5	3
88	его в	2	3
89	тех же	4	3
90	в области	14	3
91	в виду	8	3
92	на этом	2	2
93	должна быть	3	2
94	это уже	3	2
95	отнюдь не	3	2
96	однако в	2	2
97	все они	2	2
98	именно так	2	2
99	дело не	2	2
100	из этих	5	2
101	раз и	2	2
102	а потому	2	2
103	же это	2	2
104	к тому	3	2
105	тем не	9	2
106	тому же	3	2
107	и того	2	2
108	в нашей	4	2
109	или иной	7	2
110	того же	4	2
111	отношения между	4	2
112	одной стороны	4	2
113	было бы	16	2
114	по поводу	3	2
115	от языка	2	2
116	за пределы	2	2
117	относится к	2	2
118	говоря уже	2	2
119	то это	3	2
120	не есть	3	2
121	отношению к	2	2
122	только то	3	2
123	на том	2	2
124	в сущности	4	2
125	то он	3	2
126	не говоря	2	2
127	то и	2	2
128	в текст	2	2
129	и только	3	2
130	с одной	4	2
131	все эти	7	2
132	из того	2	2
133	чтобы не	2	2
134	самом деле	14	2
135	что не	4	2
136	что такое	4	2
137	хотя бы	9	2
138	с точки	16	2
139	в слове	4	2
140	можно было	11	2
141	тому как	2	2
142	не случайно	4	2
143	так называемого	3	2
144	между тем	4	2
145	тем более	5	2
146	тем что	5	2
147	могут быть	6	2
148	на себя	2	2
149	этого рода	3	2
150	о том	6	2
151	как он	2	2
152	в россии	2	2
153	здесь как	2	2
