N	2gram	Vinokur_Ku_1	TeoriaLi
1	не только	10	18
2	в качестве	7	17
3	тогда как	2	16
4	и не	12	16
5	а в	5	14
6	в частности	4	13
7	и в	24	13
8	состоит в	3	13
9	может быть	13	12
10	так и	7	12
11	при этом	6	11
12	в этом	14	11
13	в том	30	11
14	но не	5	10
15	а не	8	10
16	и его	5	10
17	в его	12	9
18	то же	8	9
19	сводится к	3	8
20	что в	17	8
21	отношению к	9	8
22	но и	6	8
23	по отношению	8	8
24	в себе	3	7
25	том что	21	7
26	в данном	4	7
27	точки зрения	14	7
28	в то	2	7
29	только в	11	7
30	как это	3	7
31	с его	4	6
32	же время	2	6
33	еще не	5	6
34	лишь в	2	6
35	как бы	7	6
36	но в	2	6
37	в рамках	4	5
38	в своем	3	5
39	или иного	3	5
40	или иной	3	5
41	как и	2	5
42	не в	11	5
43	в пределах	4	5
44	между ними	2	5
45	в самом	10	5
46	того или	4	5
47	роли в	2	5
48	в нем	4	5
49	как в	4	5
50	а а	3	5
51	он не	2	5
52	уже не	8	5
53	тем самым	4	5
54	с другой	7	5
55	не случайно	6	5
56	между тем	5	5
57	мы имеем	6	5
58	не менее	7	4
59	не столько	2	4
60	в свою	3	4
61	можно сказать	3	4
62	ни в	2	4
63	более или	3	4
64	и а	2	4
65	в своей	2	4
66	то что	9	4
67	по преимуществу	2	4
68	или менее	3	4
69	в их	3	4
70	не может	7	4
71	в слове	2	4
72	хотя и	3	4
73	никогда не	2	3
74	в этих	4	3
75	этом смысле	3	3
76	прежде всего	9	3
77	а только	8	3
78	тем не	4	3
79	в соответствии	3	3
80	свою очередь	3	3
81	того что	9	3
82	например в	5	3
83	в сторону	2	3
84	и потому	4	3
85	этого слова	3	3
86	не все	2	3
87	другой стороны	6	3
88	как раз	8	3
89	таким образом	12	3
90	а с	3	3
91	именно в	6	3
92	и что	5	3
93	или в	2	3
94	и то	3	3
95	потому что	23	3
96	речи и	5	3
97	что можно	2	3
98	в этой	3	3
99	все эти	6	3
100	к которому	3	3
101	я не	2	2
102	е о	2	2
103	о чем	2	2
104	если бы	9	2
105	была бы	3	2
106	того же	4	2
107	это не	7	2
108	одного и	2	2
109	вовсе не	10	2
110	по себе	2	2
111	что он	6	2
112	к тому	5	2
113	и того	2	2
114	и как	2	2
115	соответствии с	3	2
116	что они	4	2
117	казалось бы	3	2
118	а на	2	2
119	в большинстве	2	2
120	во втором	2	2
121	иначе говоря	2	2
122	слова как	3	2
123	в виду	5	2
124	к жизни	2	2
125	так или	2	2
126	даже в	3	2
127	к какому-либо	2	2
128	и тем	2	2
129	не с	3	2
130	в целом	4	2
131	знания о	2	2
132	вместе с	7	2
133	дело не	2	2
134	со стороны	4	2
135	а именно	2	2
136	не на	4	2
137	здесь не	3	2
138	и для	2	2
139	от себя	2	2
140	это и	4	2
141	в той	5	2
142	с точки	9	2
143	и даже	3	2
144	так же	4	2
145	роль в	4	2
146	или иначе	2	2
147	на себя	3	2
148	с языком	2	2
149	и здесь	3	2
150	в структуре	2	2
151	о том	9	2
152	в которой	6	2
153	в области	7	2
154	это было	2	2
