N	2gram	Savitsky_E_1	Analitik
1	в этом	12	18
2	в частности	5	16
3	и в	37	16
4	не только	18	16
5	так и	10	15
6	как и	7	14
7	в том	11	12
8	но и	14	12
9	и не	14	12
10	том что	6	12
11	в качестве	14	11
12	иначе говоря	2	11
13	могут быть	2	10
14	как бы	6	10
15	а не	2	10
16	в пределах	25	9
17	на уровне	2	9
18	и даже	6	9
19	в этой	2	9
20	то есть	6	9
21	в данном	3	8
22	отнюдь не	9	8
23	представляет собой	3	8
24	всего лишь	3	8
25	к тому	8	7
26	в себе	9	7
27	то что	6	7
28	о том	3	7
29	а также	7	7
30	с другой	7	6
31	в самом	4	6
32	в мире	2	6
33	и на	6	6
34	может быть	6	6
35	как это	4	6
36	но в	14	6
37	говорит о	3	5
38	в сторону	2	5
39	и к	3	5
40	данном случае	2	5
41	с одной	8	5
42	на себя	3	5
43	в своем	14	4
44	столь же	5	4
45	можно сказать	4	4
46	не в	5	4
47	но не	5	4
48	того же	3	4
49	тем самым	5	4
50	одной стороны	8	4
51	имеет место	2	4
52	по преимуществу	2	4
53	и тем	3	4
54	во второй	3	4
55	во всех	6	4
56	как в	3	4
57	не может	9	4
58	то же	15	4
59	хотя и	2	4
60	точки зрения	23	4
61	только в	9	4
62	место в	3	3
63	никогда не	3	3
64	прежде всего	9	3
65	или иного	4	3
66	или иной	4	3
67	что на	2	3
68	одной из	5	3
69	есть в	2	3
70	было бы	8	3
71	несмотря на	4	3
72	и если	2	3
73	или в	2	3
74	той или	4	3
75	что и	3	3
76	из них	3	3
77	со стороны	5	3
78	в их	11	3
79	если бы	2	3
80	этом отношении	3	3
81	именно в	4	3
82	того или	4	3
83	можно было	3	3
84	а в	2	3
85	как мы	5	3
86	и то	2	3
87	в результате	3	3
88	тем что	3	3
89	как будто	2	3
90	бы в	2	3
91	в эту	2	3
92	и все	2	3
93	в общем	3	2
94	того что	7	2
95	уже и	3	2
96	вообще не	3	2
97	в одном	2	2
98	что все	2	2
99	этом смысле	3	2
100	в случае	2	2
101	вовсе не	6	2
102	по себе	4	2
103	на то	6	2
104	в рассуждении	2	2
105	же время	14	2
106	что в	21	2
107	она не	2	2
108	ведь и	2	2
109	в своей	8	2
110	нас к	2	2
111	частности в	2	2
112	в котором	2	2
113	себе не	3	2
114	даже в	4	2
115	не есть	2	2
116	вместе с	2	2
117	всего в	2	2
118	вслед за	6	2
119	другой стороны	2	2
120	таким образом	2	2
121	т е	9	2
122	еще более	2	2
123	в значительной	2	2
124	или точнее	2	2
125	на этот	2	2
126	не имеет	4	2
127	и для	3	2
128	с точки	17	2
129	так же	9	2
130	на основе	2	2
131	в таком	3	2
132	между тем	8	2
133	и во	2	2
134	он не	2	2
135	в то	16	2
136	в его	2	2
137	в этих	2	2
138	сказать что	4	2
