N	3gram	Tiupa_Anal_1	Marksizm
1	с точки зрения	4	20
2	не может быть	16	13
3	в самом деле	2	9
4	и не может	4	9
5	то ни было	3	8
6	бы то ни	3	8
7	и того же	2	5
8	одного и того	2	5
9	в отличие от	6	5
10	с другой стороны	2	5
11	то же самое	2	3
12	в то же	8	3
13	то же время	6	3
14	внутреннего и внешнего	2	3
15	в этом отношении	2	3
16	в первом случае	2	3
17	в том что	9	3
18	для того чтобы	3	3
19	в том числе	3	2
20	не могут быть	2	2
21	в таком случае	3	2
22	нет и не	2	2
23	но в то	2	2
24	по отношению к	5	2
