N	2gram	Medvedev_F_3	Myslijsy
1	потому что	7	49
2	для нас	3	31
3	и в	27	24
4	может быть	25	23
5	то что	8	20
6	и не	30	19
7	а не	17	18
8	в том	7	18
9	что в	8	16
10	по себе	4	15
11	не только	9	15
12	того же	3	14
13	при этом	8	13
14	было бы	6	13
15	не в	12	13
16	в слове	4	13
17	но не	5	12
18	не может	24	12
19	то же	15	12
20	мы можем	4	12
21	если бы	12	11
22	что и	2	11
23	вместе с	6	11
24	мы не	4	11
25	только в	8	11
26	таким образом	18	11
27	в себе	3	10
28	как в	4	10
29	так как	9	10
30	тогда когда	4	10
31	независимо от	5	9
32	вовсе не	28	9
33	в нем	15	9
34	как бы	8	9
35	но и	10	9
36	том что	4	8
37	и на	3	8
38	в этом	18	8
39	могут быть	4	8
40	не могут	10	7
41	прежде всего	4	7
42	во всяком	6	7
43	всяком случае	6	7
44	сами по	2	7
45	во всех	3	7
46	как и	14	7
47	того что	3	7
48	тем что	5	7
49	связи с	5	6
50	с другой	6	6
51	не есть	4	6
52	и как	4	6
53	не можем	2	6
54	тем не	2	6
55	и т	11	6
56	между тем	7	6
57	в то	7	6
58	этого слова	2	6
59	и только	2	6
60	уже в	4	5
61	не менее	7	5
62	столь же	3	5
63	что они	5	5
64	не от	2	5
65	о том	4	5
66	и их	5	5
67	так и	21	5
68	в них	3	5
69	а и	3	5
70	бы не	2	5
71	от того	2	5
72	для того	4	5
73	бы ни	4	5
74	из них	2	5
75	все же	6	5
76	место в	10	4
77	главным образом	2	4
78	никогда не	5	4
79	из этих	2	4
80	что он	6	4
81	уже не	3	4
82	такой же	2	4
83	одна из	2	4
84	еще не	6	4
85	предмета и	2	4
86	в самом	11	4
87	в котором	2	4
88	только один	2	4
89	нам кажется	2	4
90	так в	2	4
91	и сами	2	4
92	и что	3	4
93	к другому	2	4
94	в таком	2	4
95	тому как	5	4
96	подобно тому	4	4
97	они не	4	4
98	от него	2	4
99	как он	2	4
100	там где	7	4
101	так сказать	5	4
102	души и	3	4
103	с тем	7	4
104	но в	6	4
105	что это	3	3
106	смысле этого	2	3
107	это не	3	3
108	оно не	3	3
109	не как	2	3
110	и от	11	3
111	и все	8	3
112	человека и	2	3
113	на все	2	3
114	ни было	5	3
115	очевидно что	2	3
116	кажется что	2	3
117	но это	2	3
118	в самой	2	3
119	в ней	5	3
120	и во	2	3
121	же что	2	3
122	его в	7	3
123	с таким	2	3
124	и тем	3	3
125	слова и	4	3
126	в целом	4	3
127	как не	2	3
128	со стороны	4	3
129	что она	2	3
130	и тогда	2	3
131	в языке	2	3
132	в нас	2	3
133	т п	5	3
134	т д	6	3
135	и притом	2	3
136	те же	3	3
137	человека в	2	3
138	если мы	7	3
139	тем же	7	3
140	и для	6	3
141	бы быть	2	3
142	той же	3	3
143	от одного	2	3
144	в каком	2	3
145	в этих	3	3
146	в эту	2	3
147	том как	2	3
148	от действия	2	2
149	в каждом	5	2
150	всех этих	2	2
151	этом смысле	2	2
152	перестает быть	2	2
153	и его	19	2
154	в какой	3	2
155	превращается в	2	2
156	хотя бы	6	2
157	что ни	2	2
158	и это	2	2
159	а к	2	2
160	внутренней формы	3	2
161	одной и	2	2
162	в жизни	11	2
163	между ними	15	2
164	к этому	2	2
165	с его	2	2
166	мы знаем	4	2
167	бы в	6	2
168	у нас	3	2
169	за пределы	2	2
170	все эти	6	2
171	совсем не	5	2
172	так же	9	2
173	же время	7	2
174	связано с	2	2
175	в формах	2	2
176	в действительности	9	2
177	в общем	2	2
178	связь между	4	2
179	имеет место	3	2
180	как совокупность	2	2
181	она есть	3	2
182	и следовательно	3	2
183	но если	2	2
184	в его	7	2
185	и потому	5	2
186	ни с	2	2
187	слово как	3	2
188	все это	7	2
189	допустим что	2	2
190	другой стороны	5	2
191	вытекает из	2	2
192	в связи	4	2
193	на самом	14	2
194	самом деле	16	2
195	того чтобы	5	2
196	друг друга	5	2
197	отношения к	2	2
198	как это	4	2
199	по отношению	3	2
200	их в	3	2
201	сказать что	3	2
202	тому что	3	2
203	то мы	3	2
204	быть только	2	2
205	не на	3	2
206	отношения между	2	2
207	мы должны	2	2
208	может стать	3	2
209	на этом	2	2
210	к которому	2	2
211	слагаются в	2	2
