N	2gram	Voloshinov_1	KFilosof
1	может быть	13	43
2	в его	6	39
3	в нем	4	31
4	не может	12	27
5	и не	14	26
6	и в	38	22
7	в котором	3	21
8	в себе	9	21
9	в ее	3	17
10	а не	6	17
11	и его	7	17
12	только в	6	16
13	точки зрения	10	13
14	в этом	10	13
15	для него	3	12
16	но не	2	12
17	и это	7	12
18	все эти	2	11
19	в своей	2	11
20	не в	6	11
21	к нему	2	11
22	это не	3	10
23	все это	4	10
24	во всех	6	10
25	с точки	5	10
26	в целом	4	9
27	но и	13	9
28	как бы	28	9
29	и все	4	9
30	и для	3	9
31	не было	2	8
32	лишь в	4	8
33	если бы	4	8
34	было бы	7	8
35	жизни и	3	8
36	и здесь	3	7
37	вовсе не	2	7
38	конечно не	3	7
39	должен быть	2	7
40	что и	3	7
41	то что	8	7
42	себя в	4	7
43	в том	2	6
44	но это	2	6
45	мой поступок	2	6
46	отношение к	2	6
47	в мире	2	6
48	отнюдь не	10	6
49	совершенно не	3	6
50	и их	5	6
51	он не	2	6
52	уже не	4	6
53	никогда не	7	5
54	хотя бы	18	5
55	но эта	2	5
56	то же	14	5
57	но все	4	5
58	и содержание	2	5
59	должно быть	2	5
60	в основе	2	5
61	но как	2	5
62	но ведь	6	5
63	его в	4	5
64	с ним	2	5
65	но в	5	5
66	не знает	3	5
67	как и	10	5
68	не только	27	5
69	все же	7	5
70	мы имеем	2	5
71	времени и	2	4
72	место в	2	4
73	для нас	3	4
74	здесь мы	3	4
75	при этом	9	4
76	в своих	2	4
77	между тем	3	4
78	в одном	3	4
79	том что	3	4
80	в действительной	2	4
81	а в	5	4
82	тем самым	7	4
83	в каком	2	4
84	и т.д	21	4
85	бы и	2	3
86	независимо от	5	3
87	что это	4	3
88	в свою	6	3
89	и пр	4	3
90	в виду	3	3
91	себе и	2	3
92	не имеем	3	3
93	и тем	6	3
94	от того	3	3
95	того что	4	3
96	слово не	4	3
97	и на	6	3
98	в ней	8	3
99	в то	9	3
100	того или	5	3
101	о том	4	3
102	и ни	2	3
103	мы не	9	3
104	ясно что	2	3
105	или иного	5	3
106	не должно	2	3
107	действительной жизни	2	3
108	не должен	2	3
109	по своему	3	3
110	еще не	3	3
111	нет и	3	3
112	бы не	2	3
113	на самом	3	3
114	всех своих	4	3
115	самом деле	4	3
116	для того	9	3
117	к чему	2	3
118	тем что	2	3
119	здесь не	2	3
120	ничего не	8	3
121	слова в	5	2
122	или иное	4	2
123	а с	5	2
124	его и	3	2
125	та же	3	2
126	прежде всего	21	2
127	вследствие этого	2	2
128	вопрос о	2	2
129	содержание и	3	2
130	или иной	4	2
131	войти в	2	2
132	и конечно	2	2
133	и как	9	2
134	же время	7	2
135	и само	3	2
136	события и	2	2
137	но для	3	2
138	тому что	5	2
139	потому что	5	2
140	той или	3	2
141	в сознании	3	2
142	я и	2	2
143	были бы	4	2
144	ни к	2	2
145	с его	7	2
146	и то	3	2
147	с тем	8	2
148	в жизни	2	2
149	к этому	2	2
150	человек не	2	2
151	что он	2	2
152	чему не	2	2
153	при условии	2	2
154	не будет	3	2
155	в качестве	4	2
156	всех его	2	2
157	не нужно	2	2
158	тот же	2	2
159	и когда	2	2
160	и потому	2	2
161	этого слова	3	2
162	сознания не	3	2
163	в процессе	6	2
164	так и	6	2
165	как в	2	2
166	если не	3	2
167	еще более	2	2
168	того чтобы	7	2
169	и эта	3	2
170	то или	4	2
171	которого и	2	2
172	в этой	6	2
173	или как	6	2
174	в области	5	2
