N	2gram	Bakhtin_Pr_4	Myshleni
1	в том	9	33
2	том что	4	27
3	точки зрения	11	26
4	то что	4	20
5	в этом	16	19
6	с точки	9	18
7	и в	46	15
8	не только	14	15
9	речи и	5	15
10	что в	4	14
11	таким образом	4	14
12	что он	6	12
13	и т.д	3	12
14	в самом	9	11
15	в процессе	4	11
16	но и	12	10
17	было бы	3	10
18	мы не	4	10
19	мы можем	4	10
20	в своем	3	9
21	может быть	23	9
22	не может	19	9
23	что мы	2	9
24	о том	5	9
25	в сущности	7	9
26	так и	4	8
27	никогда не	6	8
28	не в	10	8
29	и что	3	8
30	если бы	3	8
31	к тому	2	7
32	и не	27	7
33	потому что	4	7
34	как бы	19	7
35	по себе	7	7
36	он не	4	7
37	и т.п	14	7
38	во всяком	2	7
39	в отношении	3	6
40	как мы	12	6
41	в этой	3	6
42	мы уже	3	6
43	в виду	4	6
44	на то	3	6
45	по отношению	5	6
46	мы находим	5	6
47	с другой	3	6
48	сказать что	2	6
49	как он	3	6
50	но в	6	6
51	вовсе не	9	6
52	и к	9	6
53	как и	12	6
54	по своей	3	6
55	отношение между	2	6
56	вместе с	2	6
57	если мы	5	6
58	самом деле	4	6
59	на этот	2	6
60	там где	2	6
61	это не	5	5
62	уже в	4	5
63	вопрос о	2	5
64	смысле слова	2	5
65	к внутренней	2	5
66	и их	3	5
67	с помощью	3	5
68	и даже	3	5
69	речь и	2	5
70	друг друга	6	5
71	по существу	3	5
72	все что	2	5
73	отношению к	5	5
74	приводит к	4	5
75	то же	6	5
76	можно было	2	5
77	этот вопрос	2	5
78	прежде всего	9	4
79	из этих	3	4
80	для нас	2	4
81	все это	6	4
82	так же	3	4
83	а в	2	4
84	их в	3	4
85	и с	7	4
86	так как	5	4
87	с его	5	4
88	все же	4	4
89	в своей	3	4
90	как в	4	4
91	как раз	7	4
92	того как	2	4
93	хотя бы	2	4
94	и его	6	4
95	значение для	3	4
96	только в	6	4
97	том числе	4	3
98	он сам	2	3
99	все время	2	3
100	мы будем	2	3
101	но на	2	3
102	для этого	2	3
103	человека и	3	3
104	числе и	3	3
105	об этом	2	3
106	и сам	5	3
107	для него	2	3
108	при этом	5	3
109	в общем	2	3
110	и до	3	3
111	языка и	2	3
112	и только	3	3
113	все эти	4	3
114	те же	2	3
115	в самой	5	3
116	они не	2	3
117	лишь в	2	3
118	с собой	3	3
119	и по	2	3
120	в которых	2	3
121	в результате	2	3
122	с ним	2	3
123	мы имеем	3	3
124	и все	9	3
125	здесь и	3	3
126	с этим	2	3
127	о которых	2	3
128	но не	4	3
129	того же	3	3
130	в заключение	2	3
131	когда он	2	3
132	бы и	2	3
133	речи как	2	3
134	а не	11	3
135	речь в	2	3
136	или в	8	3
137	значение в	2	3
138	в данном	2	3
139	в отличие	3	3
140	этого слова	2	3
141	и это	3	3
142	отличие от	3	3
143	ничего не	2	3
144	реакции на	3	2
145	не могут	3	2
146	сама по	2	2
147	же как	2	2
148	в этих	4	2
149	перед нами	12	2
150	и речь	2	2
151	на все	2	2
152	или иной	2	2
153	можно сказать	4	2
154	человек с	2	2
155	ни в	6	2
156	живет в	2	2
157	и как	2	2
158	но все	2	2
159	не дает	2	2
160	и само	2	2
161	и идеи	3	2
162	друг с	5	2
163	той или	2	2
164	в котором	5	2
165	и тем	2	2
166	с ее	3	2
167	он как	2	2
168	в первой	2	2
169	могут быть	2	2
170	его речи	2	2
171	на том	2	2
172	в их	4	2
173	целый ряд	2	2
174	и других	4	2
175	должно быть	4	2
176	в других	2	2
177	увидим что	2	2
178	но для	3	2
179	остается в	2	2
180	к себе	6	2
181	но если	3	2
182	также и	3	2
183	но ведь	2	2
184	во всем	4	2
185	в одном	11	2
186	от этого	2	2
187	у него	5	2
188	не могло	2	2
189	этих двух	4	2
190	этом смысле	2	2
191	бы ни	2	2
192	и различные	2	2
193	стороны и	2	2
194	в присутствии	2	2
195	указывает на	2	2
196	мы увидим	6	2
197	за пределы	5	2
198	том же	4	2
199	к ней	2	2
200	в его	9	2
201	нет и	2	2
202	что и	3	2
203	раз в	2	2
204	во всех	5	2
205	или менее	3	2
206	без всякого	2	2
207	что же	3	2
208	и для	3	2
209	все равно	2	2
210	или к	2	2
211	но с	2	2
212	в себя	4	2
213	той же	3	2
214	тем что	3	2
215	в себе	7	2
216	в другом	2	2
217	ту же	2	2
218	с другом	5	2
219	его к	2	2
220	более или	3	2
