N	2gram	Trubetskoy_1	Sovremen
1	не может	4	17
2	точки зрения	13	12
3	может быть	10	12
4	таким образом	22	11
5	в этом	15	7
6	и в	26	7
7	и не	8	6
8	в результате	3	6
9	мы можем	2	6
10	прежде всего	2	5
11	все эти	6	5
12	и наконец	2	5
13	с точки	6	5
14	как бы	12	4
15	мы видели	2	4
16	жизни и	2	4
17	вместе с	15	4
18	а в	4	4
19	не только	10	4
20	в том	11	4
21	из них	7	4
22	мы должны	6	4
23	так как	9	4
24	уже в	2	3
25	самого начала	2	3
26	все же	6	3
27	при таком	2	3
28	все это	6	3
29	отличается от	2	3
30	в конце	6	3
31	то же	4	3
32	у всех	2	3
33	ясно что	3	3
34	в нем	4	3
35	а не	5	3
36	и к	5	3
37	с самого	3	3
38	не в	2	3
39	в этой	4	3
40	еще не	2	3
41	он в	2	3
42	при этом	3	3
43	и т.д	6	3
44	в одном	3	3
45	и все	2	3
46	в себе	6	3
47	в области	9	3
48	но в	7	3
49	и потому	6	3
50	не могут	2	2
51	что это	3	2
52	не менее	3	2
53	в виде	4	2
54	можно назвать	2	2
55	быть и	2	2
56	приводит к	2	2
57	из этих	10	2
58	что все	4	2
59	с одной	7	2
60	каждая из	3	2
61	уже не	3	2
62	в свою	2	2
63	или иной	2	2
64	и что	4	2
65	из которых	4	2
66	на этот	4	2
67	и даже	3	2
68	и по	4	2
69	тем не	3	2
70	то ни	2	2
71	в таком	3	2
72	но все	7	2
73	во всяком	6	2
74	что в	9	2
75	с другом	5	2
76	тот же	2	2
77	со всеми	2	2
78	же самое	2	2
79	в самом	4	2
80	друг с	5	2
81	в которой	3	2
82	в его	5	2
83	всяком случае	6	2
