N	2gram	Medvedev_F_1	TeoriaLi
1	в мире	4	24
2	не только	7	18
3	и не	20	16
4	а в	6	14
5	в частности	4	13
6	и в	24	13
7	может быть	14	12
8	так и	18	12
9	при этом	5	11
10	в этом	15	11
11	в том	6	11
12	но не	3	10
13	а не	10	10
14	и его	10	10
15	в его	23	9
16	то же	10	9
17	в душе	2	8
18	произведение искусства	2	8
19	сводится к	3	8
20	что в	4	8
21	отношению к	4	8
22	но и	7	8
23	по отношению	4	8
24	в себе	3	7
25	точки зрения	16	7
26	в то	9	7
27	только в	2	7
28	как это	6	7
29	место в	7	6
30	с его	4	6
31	же время	8	6
32	еще не	6	6
33	лишь в	8	6
34	как бы	6	6
35	но в	5	6
36	в своем	11	5
37	или иного	3	5
38	не сводится	2	5
39	в ее	8	5
40	как и	11	5
41	не в	8	5
42	в пределах	6	5
43	между ними	3	5
44	в самом	5	5
45	того или	2	5
46	роли в	3	5
47	в нем	14	5
48	как в	8	5
49	он не	3	5
50	уже не	2	5
51	тем самым	3	5
52	с другой	5	5
53	между тем	2	5
54	в искусстве	5	5
55	художественного восприятия	2	4
56	не менее	11	4
57	в свою	8	4
58	ни в	2	4
59	более или	6	4
60	в своей	11	4
61	то что	8	4
62	отношение к	3	4
63	литературного произведения	4	4
64	или менее	6	4
65	в их	11	4
66	приводит к	2	4
67	не может	16	4
68	и ее	10	4
69	и др	5	3
70	никогда не	4	3
71	в нашем	2	3
72	в отношении	3	3
73	он должен	3	3
74	прежде всего	22	3
75	художественного произведения	23	3
76	и к	4	3
77	а только	2	3
78	свою очередь	6	3
79	для него	3	3
80	того что	5	3
81	и потому	9	3
82	этого слова	3	3
83	на почве	13	3
84	с ее	7	3
85	как раз	2	3
86	входит в	6	3
87	таким образом	13	3
88	именно в	8	3
89	мира в	2	3
90	художественного целого	2	3
91	и вот	2	3
92	и что	2	3
93	в основе	3	3
94	литературных произведений	3	3
95	в этой	6	3
96	отношении к	2	3
97	его в	3	3
98	все эти	6	3
99	в художественном	3	3
100	в произведении	2	3
101	к которому	2	3
102	сама по	2	2
103	только не	2	2
104	если бы	4	2
105	была бы	2	2
106	к действительности	2	2
107	за пределы	2	2
108	жизни в	2	2
109	это не	2	2
110	на фоне	3	2
111	вовсе не	10	2
112	по себе	5	2
113	в литературе	5	2
114	что он	3	2
115	к тому	3	2
116	и как	3	2
117	но напротив	2	2
118	одной стороны	4	2
119	литературы как	3	2
120	в большинстве	3	2
121	одной из	2	2
122	и особенно	2	2
123	не могло	5	2
124	не с	2	2
125	в целом	6	2
126	во всех	5	2
127	вместе с	2	2
128	со стороны	5	2
129	не на	2	2
130	здесь не	3	2
131	как к	3	2
132	соединении с	2	2
133	с одной	4	2
134	это и	3	2
135	в году	2	2
136	с точки	13	2
137	и даже	3	2
138	во всей	2	2
139	так же	4	2
140	или иначе	2	2
141	тот или	2	2
142	с художественной	2	2
143	и здесь	6	2
144	могла бы	2	2
145	жизни но	2	2
146	произведения искусства	3	2
147	и это	2	2
148	в которой	4	2
149	отношения к	6	2
150	в области	3	2
