N	2gram	Losev_Vlad_3	DiskursI
1	в себе	9	19
2	при этом	3	17
3	в качестве	3	16
4	и в	40	16
5	может быть	8	16
6	как и	7	16
7	в этом	16	16
8	и не	25	15
9	а не	8	14
10	в отличие	3	12
11	отличие от	3	12
12	то есть	24	12
13	в мире	2	11
14	но и	18	11
15	но в	4	11
16	том что	18	10
17	не только	25	10
18	со стороны	2	10
19	такого рода	4	9
20	так и	6	9
21	не может	14	9
22	в том	18	8
23	а также	8	8
24	не менее	9	7
25	прежде всего	10	7
26	в нем	3	7
27	ни в	10	7
28	но не	4	7
29	в данном	5	7
30	с его	2	6
31	отнюдь не	5	6
32	еще не	4	6
33	все же	4	6
34	в своей	9	6
35	данном случае	2	6
36	то же	4	6
37	тем самым	2	6
38	в своих	7	6
39	по своей	2	6
40	ни к	2	5
41	а с	4	5
42	что в	17	5
43	в своем	8	5
44	с другой	5	5
45	же время	2	5
46	для него	8	5
47	то что	28	5
48	и на	6	5
49	в то	7	5
50	в одном	5	4
51	к этому	2	4
52	к его	2	4
53	одной стороны	3	4
54	как бы	3	4
55	этом отношении	2	4
56	с одной	3	4
57	роль в	2	4
58	потому что	11	4
59	точки зрения	13	4
60	в этой	8	4
61	и то	9	4
62	о том	11	4
63	не является	2	4
64	перед нами	3	3
65	в этих	2	3
66	это не	3	3
67	не столько	3	3
68	из этих	3	3
69	и все	4	3
70	уже не	9	3
71	и как	7	3
72	не в	3	3
73	здесь в	4	3
74	он не	8	3
75	той или	2	3
76	в его	14	3
77	еще в	5	3
78	в котором	4	3
79	из них	2	3
80	жизни а	2	3
81	не было	5	3
82	все эти	5	3
83	и наконец	2	3
84	также и	17	3
85	как на	3	3
86	и его	10	3
87	но это	6	3
88	всей своей	2	3
89	в другом	2	3
90	только в	13	3
91	его в	2	3
92	содержит в	5	2
93	же как	3	2
94	никогда не	11	2
95	которая в	2	2
96	же касается	5	2
97	бытия и	2	2
98	в целом	2	2
99	с таким	2	2
100	стороны и	2	2
101	указать на	4	2
102	что на	2	2
103	на первый	2	2
104	что он	5	2
105	такой же	4	2
106	является не	3	2
107	того же	2	2
108	должна быть	2	2
109	одно и	2	2
110	не нужно	2	2
111	с их	3	2
112	некоторого рода	5	2
113	легко может	2	2
114	в ней	5	2
115	далеко не	3	2
116	на почве	2	2
117	для себя	5	2
118	не с	4	2
119	что и	7	2
120	с точки	6	2
121	но уже	2	2
122	не к	2	2
123	вместе с	7	2
124	что же	9	2
125	не на	2	2
126	именно в	3	2
127	по преимуществу	2	2
128	там же	7	2
129	к своему	2	2
130	сводится к	3	2
131	другой стороны	2	2
132	и для	3	2
133	должно быть	5	2
134	а в	7	2
135	тут же	5	2
136	в результате	4	2
137	и с	9	2
138	не о	2	2
139	ранний период	2	2
140	и это	6	2
141	дело в	5	2
142	здесь не	3	2
143	мы имеем	3	2
