N	3gram	Vinokur_St_1	Myshleni
1	в том что	17	21
2	с точки зрения	8	18
3	для того чтобы	10	10
4	с одной стороны	2	7
5	заключается в том	3	7
6	на то что	4	6
7	во всяком случае	6	6
8	не может быть	5	6
9	можно было бы	8	5
10	по отношению к	3	5
11	в самом деле	5	4
12	о том что	11	4
13	в том числе	2	3
14	том числе и	2	3
15	в данном случае	6	3
16	по этому поводу	2	3
17	в этом отношении	7	3
18	если бы мы	2	2
19	том что в	3	2
20	как раз в	2	2
21	хотя бы и	2	2
22	и в самом	3	2
23	на вопрос о	2	2
24	вовсе не в	2	2
25	на самом деле	6	2
26	речь идет о	2	2
27	вопрос о том	2	2
