N	2gram	Tiupa_Anal_2	Otkroven
1	у него	4	22
2	и в	16	19
3	но и	12	13
4	и не	12	13
5	в этом	18	12
6	а не	10	11
7	не в	4	11
8	может быть	6	11
9	не только	16	11
10	и все	3	10
11	никогда не	3	9
12	прежде всего	3	9
13	и он	2	8
14	он был	2	8
15	ни с	2	7
16	лишь в	9	7
17	он не	2	7
18	в его	2	7
19	все это	4	6
20	как и	14	6
21	то что	7	5
22	а в	3	5
23	о его	4	5
24	в том	12	5
25	для него	4	5
26	в этой	9	5
27	в самом	6	5
28	т е	2	4
29	и его	4	4
30	не может	4	4
31	что в	2	4
32	в этих	2	3
33	того что	2	3
34	еще не	2	3
35	могут быть	10	3
36	все что	2	3
37	в себе	7	3
38	было бы	3	3
39	о том	7	3
40	с ним	2	3
41	как бы	10	3
42	это было	2	3
43	что и	3	2
44	не есть	2	2
45	он в	4	2
46	и для	2	2
47	всего в	2	2
48	так и	15	2
49	в своем	4	2
50	что все	2	2
51	к этому	2	2
52	по себе	2	2
53	и к	5	2
54	не имеет	2	2
55	том что	12	2
56	так что	3	2
57	и на	6	2
58	и то	3	2
59	сказать что	2	2
60	тем что	3	2
61	личности и	2	2
62	одно из	2	2
63	ведь это	2	2
64	его в	2	2
65	в своей	2	2
66	ничего не	9	2
67	хотя и	4	2
68	но в	6	2
