N	2gram	Vygotskiy__4	KFilosof
1	может быть	12	43
2	в его	11	39
3	в нем	2	31
4	не может	6	27
5	и не	8	26
6	и в	20	22
7	в себе	10	21
8	не есть	2	19
9	а не	7	17
10	и его	5	17
11	только в	10	16
12	точки зрения	24	13
13	в этом	24	13
14	ни в	3	12
15	для него	2	12
16	но не	3	12
17	и это	2	12
18	все эти	5	11
19	в своей	7	11
20	не в	4	11
21	к нему	2	11
22	в своем	4	10
23	это не	5	10
24	с точки	11	10
25	в целом	11	9
26	но и	9	9
27	в их	12	9
28	как бы	7	9
29	и для	4	9
30	если бы	5	8
31	было бы	8	8
32	со стороны	3	8
33	на основе	10	7
34	и здесь	2	7
35	во всем	3	7
36	что и	9	7
37	то что	15	7
38	себя в	3	7
39	в смысле	4	6
40	в том	42	6
41	и только	4	6
42	отнюдь не	3	6
43	в действительном	2	6
44	совершенно не	3	6
45	никогда не	5	5
46	то же	16	5
47	именно в	3	5
48	не имеет	2	5
49	должно быть	3	5
50	в основе	17	5
51	но как	2	5
52	его в	6	5
53	но в	3	5
54	не знает	2	5
55	как и	9	5
56	не только	15	5
57	все же	5	5
58	мы имеем	2	5
59	место в	2	4
60	что в	19	4
61	входит в	2	4
62	для нас	4	4
63	здесь мы	2	4
64	при этом	12	4
65	не по	2	4
66	между тем	9	4
67	нисколько не	2	4
68	том что	35	4
69	во всей	4	4
70	а в	2	4
71	тем самым	7	4
72	в каком	2	4
73	и т.д	2	4
74	в чем	3	4
75	должна быть	2	3
76	что это	2	3
77	не менее	3	3
78	в каждом	2	3
79	теории и	2	3
80	целом и	2	3
81	из него	2	3
82	в свою	2	3
83	в виду	3	3
84	себе и	3	3
85	и тем	8	3
86	от того	3	3
87	того что	10	3
88	и на	6	3
89	в ней	2	3
90	о том	5	3
91	тогда когда	8	3
92	этом смысле	8	3
93	ясно что	2	3
94	и отношения	2	3
95	по своему	4	3
96	еще не	2	3
97	в современной	2	3
98	самом деле	7	3
99	для того	5	3
100	что этот	2	3
101	тем как	3	3
102	тем что	7	3
103	могут быть	7	3
104	здесь не	2	3
105	слова в	9	2
106	может не	2	2
107	а с	2	2
108	прежде всего	2	2
109	его к	4	2
110	и как	9	2
111	на нем	2	2
112	но для	2	2
113	в него	2	2
114	тому что	4	2
115	он имеет	2	2
116	мышления и	14	2
117	и других	3	2
118	действительности в	2	2
119	потому что	12	2
120	в сознании	4	2
121	и то	10	2
122	с тем	6	2
123	что эта	3	2
124	к этому	4	2
125	что он	6	2
126	и того	5	2
127	даны в	2	2
128	в качестве	21	2
129	тот же	9	2
130	мышления как	2	2
131	и тот	7	2
132	со всеми	3	2
133	и когда	3	2
134	этого слова	11	2
135	научного мышления	3	2
136	в процессе	27	2
137	так и	5	2
138	как в	5	2
139	нами в	4	2
140	в виде	3	2
141	если не	2	2
142	того чтобы	7	2
143	в данном	2	2
144	в этой	3	2
145	ничего общего	3	2
146	один и	7	2
147	как оно	2	2
148	едва ли	2	2
149	в области	4	2
