N	2gram	Propp_Isto_2	Problema
1	и в	15	30
2	то что	12	18
3	не только	18	18
4	том что	7	17
5	в этом	11	17
6	но и	14	13
7	таким образом	7	13
8	потому что	9	13
9	в том	6	12
10	в его	6	12
11	и не	11	12
12	а именно	3	12
13	о том	3	12
14	у него	4	11
15	так что	6	11
16	для нас	4	10
17	в этой	4	10
18	все же	9	9
19	сказать что	2	9
20	но в	6	9
21	только в	6	9
22	никогда не	15	7
23	что он	24	7
24	как и	2	7
25	связи с	8	7
26	но не	2	7
27	может быть	17	7
28	вместе с	7	7
29	так и	5	7
30	в связи	5	7
31	не в	7	7
32	здесь не	2	7
33	с другой	2	6
34	прежде всего	5	6
35	и для	2	6
36	как бы	6	6
37	в нем	7	6
38	что и	6	6
39	другой стороны	2	6
40	тут же	2	6
41	и что	6	6
42	а в	12	6
43	и его	3	6
44	и на	4	6
45	можно найти	5	6
46	его в	10	6
47	при помощи	2	6
48	так как	14	6
49	нисколько не	2	5
50	с тем	9	5
51	что в	12	5
52	что у	2	5
53	в которой	2	5
54	будто бы	2	5
55	в силу	2	5
56	так же	13	5
57	и их	2	5
58	не может	5	5
59	не просто	2	5
60	а не	5	5
61	что этот	3	5
62	и то	2	5
63	но он	4	5
64	он и	3	5
65	того как	4	5
66	и с	4	5
67	мы можем	8	5
68	ни в	2	4
69	все еще	2	4
70	об этом	11	4
71	но все	5	4
72	при этом	4	4
73	было бы	5	4
74	этот мотив	4	4
75	в качестве	3	4
76	оказывается что	2	4
77	а с	2	4
78	не мог	3	4
79	и вполне	2	4
80	или в	2	4
81	под названием	2	4
82	в себе	4	4
83	он видит	2	3
84	именно в	2	3
85	и другие	4	3
86	точно так	6	3
87	не что	2	3
88	что иное	2	3
89	что они	10	3
90	как будто	3	3
91	после того	3	3
92	еще не	9	3
93	одной стороны	3	3
94	он не	8	3
95	а также	2	3
96	в русской	5	3
97	а потом	4	3
98	иное как	2	3
99	с одной	4	3
100	того что	3	3
101	к нему	5	3
102	в других	3	3
103	в ней	4	3
104	он в	3	3
105	в другом	9	3
106	в одном	5	3
107	видит в	2	3
108	в виду	2	3
109	я не	2	2
110	и более	2	2
111	хотя бы	2	2
112	как в	5	2
113	это не	2	2
114	уже в	2	2
115	на стадии	3	2
116	не все	2	2
117	один из	8	2
118	представление о	2	2
119	здесь в	2	2
120	на то	3	2
121	к тому	5	2
122	то же	10	2
123	он был	3	2
124	да и	2	2
125	по существу	2	2
126	что здесь	4	2
127	в глаза	2	2
128	кроме того	2	2
129	до сих	6	2
130	в нашей	2	2
131	мы имеем	15	2
132	на его	2	2
133	за него	2	2
134	в котором	5	2
135	отношению к	3	2
136	из них	2	2
137	когда он	3	2
138	на него	5	2
139	наряду с	6	2
140	ее в	2	2
141	по отношению	3	2
142	дает ему	2	2
143	и только	2	2
144	все эти	4	2
145	и они	4	2
146	мы не	3	2
147	они не	4	2
148	самом деле	2	2
149	того чтобы	2	2
150	его не	2	2
151	можно было	5	2
152	боги и	2	2
153	тем что	4	2
154	в одной	4	2
155	его на	2	2
156	в таких	2	2
157	еще до	2	2
158	ничего не	7	2
159	в мир	2	2
160	сих пор	7	2
