N	2gram	Bakhtin_Fr_5	NovoeSre
1	а не	4	17
2	не может	5	16
3	и в	45	16
4	и не	15	11
5	и есть	2	10
6	что в	12	9
7	в эпоху	7	9
8	жизни и	8	8
9	он не	6	8
10	в том	10	8
11	средние века	2	7
12	как и	10	7
13	в этом	14	7
14	может быть	2	7
15	с его	7	6
16	не в	7	6
17	лишь в	2	6
18	но это	5	6
19	ни в	3	6
20	должен быть	2	5
21	в нем	10	5
22	все это	7	5
23	с ее	5	5
24	и к	5	5
25	в ней	8	5
26	не только	14	5
27	не менее	3	4
28	то что	2	4
29	перестает быть	2	4
30	в них	6	4
31	это не	3	4
32	и все	7	4
33	не было	3	4
34	не имеет	3	4
35	и для	3	4
36	потому что	7	4
37	по своему	4	4
38	прежде всего	10	4
39	о том	4	4
40	но и	10	3
41	в средние	2	3
42	в своей	3	3
43	в истории	2	3
44	жизни в	2	3
45	в духе	2	3
46	во всех	13	3
47	к тому	2	3
48	в основе	4	3
49	с тем	2	3
50	конечно не	2	3
51	как в	3	3
52	сказать что	4	3
53	это было	4	3
54	что все	2	2
55	права и	3	2
56	жизнью в	2	2
57	у него	4	2
58	вместе с	3	2
59	но она	3	2
60	все они	4	2
61	так и	6	2
62	что она	3	2
63	мысли и	6	2
64	и т.п	16	2
65	и от	4	2
66	мир и	3	2
67	а в	4	2
68	духа в	2	2
69	все эти	5	2
70	свободы и	2	2
71	нет и	2	2
72	такой же	4	2
73	роль в	2	2
74	того чтобы	6	2
75	и даже	4	2
76	хотя бы	2	2
77	но не	4	2
78	так же	8	2
79	по существу	3	2
80	это и	5	2
81	мы не	4	2
82	войны и	2	2
83	том что	7	2
84	можно было	4	2
85	связаны с	4	2
86	есть в	3	2
87	же как	4	2
88	и с	10	2
89	и что	2	2
90	права на	2	2
91	с этим	4	2
92	и на	5	2
93	ведь и	3	2
94	в то	11	2
95	самой жизни	2	2
96	мира а	2	2
97	и это	4	2
98	мира и	8	2
99	как это	4	2
100	хотя и	5	2
101	но в	14	2
