N	2gram	Propp_Isto_6	FransuaR
1	и в	26	41
2	мы уже	6	18
3	таким образом	12	17
4	в нем	8	16
5	и с	6	16
6	тела и	2	15
7	и его	7	13
8	но и	9	13
9	как мы	4	12
10	в этом	12	12
11	все эти	8	11
12	прежде всего	4	10
13	не только	10	10
14	и др	2	10
15	так как	18	10
16	то что	6	10
17	кроме того	3	9
18	и на	12	9
19	о том	7	9
20	никогда не	13	8
21	здесь и	2	8
22	в этой	2	8
23	но в	7	8
24	у него	7	7
25	в них	3	7
26	вовсе не	2	7
27	том что	10	7
28	как бы	4	7
29	и до	2	7
30	как и	5	7
31	что в	12	7
32	в его	5	7
33	связаны с	5	7
34	в образе	10	6
35	что он	9	6
36	мы видим	5	6
37	например в	7	6
38	один из	3	6
39	вместе с	8	6
40	или в	3	6
41	сказать что	3	6
42	в то	5	6
43	то же	5	5
44	с его	4	5
45	в одном	3	5
46	так же	2	5
47	и он	4	5
48	а также	4	5
49	так и	5	5
50	в своем	2	5
51	и что	5	5
52	еще в	3	5
53	тем что	5	5
54	но он	2	5
55	в себе	3	5
56	там где	5	5
57	что это	2	5
58	все время	2	4
59	с другой	10	4
60	та же	3	4
61	и от	3	4
62	он был	2	4
63	у нас	5	4
64	и как	2	4
65	не в	3	4
66	все что	4	4
67	всех его	2	4
68	одной стороны	7	4
69	в ней	5	4
70	даже в	2	4
71	все же	8	4
72	не может	6	4
73	с одной	7	4
74	как в	6	4
75	именно на	2	4
76	земли и	2	4
77	и наконец	3	4
78	а в	3	4
79	о котором	2	4
80	того же	2	4
81	с ним	8	4
82	из этого	3	4
83	вход в	4	3
84	перед нами	2	3
85	в книге	4	3
86	с этой	2	3
87	в одной	2	3
88	с этим	2	3
89	первый план	2	3
90	на первый	3	3
91	но это	4	3
92	как у	2	3
93	до сих	4	3
94	было бы	2	3
95	и сам	2	3
96	в индии	3	3
97	в него	3	3
98	жизни и	2	3
99	связано с	4	3
100	сих пор	4	3
101	при этом	3	3
102	и не	10	3
103	они не	3	3
104	того что	2	3
105	что не	2	3
106	в данном	3	3
107	людей и	2	3
108	только в	5	3
109	потому что	13	3
110	в частности	3	2
111	связана с	3	2
112	в этих	2	2
113	превращается в	7	2
114	себе в	4	2
115	представление о	9	2
116	стороны и	2	2
117	для нас	2	2
118	в том	12	2
119	также как	2	2
120	так что	3	2
121	в античной	2	2
122	что они	2	2
123	от него	3	2
124	но не	2	2
125	из земли	2	2
126	здесь же	4	2
127	есть и	4	2
128	должна быть	3	2
129	кажется что	2	2
130	никто не	2	2
131	может быть	11	2
132	в своей	3	2
133	далее есть	2	2
134	он не	2	2
135	мы видели	11	2
136	не будем	2	2
137	данном случае	3	2
138	в форме	2	2
139	а именно	9	2
140	другой стороны	8	2
141	и другие	3	2
142	как это	5	2
143	мы находим	2	2
144	и сейчас	2	2
145	в народе	2	2
146	а не	2	2
147	дает нам	2	2
148	и те	2	2
149	мы не	6	2
150	к себе	2	2
151	и то	3	2
152	то он	2	2
153	их в	3	2
154	говорит он	2	2
155	одну из	4	2
156	солнца и	3	2
157	на его	4	2
158	из этих	4	2
159	что мы	2	2
160	как он	6	2
161	и этим	5	2
162	но здесь	4	2
163	мира и	2	2
164	отметить что	2	2
165	в эту	2	2
