N	2gram	Medvedev_F_1	Hudozhes
1	и в	24	28
2	в ее	8	18
3	и не	20	18
4	в том	6	15
5	а не	10	14
6	не в	8	13
7	в этом	15	13
8	как и	11	11
9	при этом	5	11
10	в его	23	11
11	не только	7	11
12	уже не	2	10
13	но и	7	9
14	в себе	3	9
15	в душе	2	8
16	в жизни	3	8
17	что он	3	8
18	может быть	14	8
19	так и	18	8
20	между тем	2	8
21	жизни в	2	7
22	и все	6	7
23	к тому	3	7
24	в мире	4	7
25	в частности	4	7
26	отношению к	4	7
27	по отношению	4	7
28	с ним	2	7
29	как это	6	7
30	это не	2	6
31	то что	8	6
32	жизни и	7	6
33	в своей	11	6
34	если бы	4	6
35	то же	10	6
36	не было	3	6
37	сводится к	3	6
38	а в	6	6
39	и с	8	6
40	в то	9	6
41	с его	4	5
42	не менее	11	5
43	в своем	11	5
44	как бы	6	5
45	как в	8	5
46	с ее	7	5
47	в этой	6	5
48	что в	4	5
49	она не	6	5
50	в самом	5	5
51	никогда не	4	5
52	только на	5	5
53	не могла	2	5
54	и его	10	5
55	художественного целого	2	5
56	для него	3	5
57	ничего не	2	5
58	но не	3	4
59	же время	8	4
60	в художественном	3	4
61	он не	3	4
62	что и	2	4
63	и т	12	4
64	как раз	2	4
65	не может	16	4
66	только в	2	4
67	все время	2	3
68	и читатель	3	3
69	была бы	2	3
70	в них	3	3
71	с другой	5	3
72	в одном	2	3
73	прежде всего	22	3
74	что было	2	3
75	в нем	14	3
76	и ее	10	3
77	самом деле	6	3
78	как о	4	3
79	еще не	6	3
80	одной стороны	4	3
81	было бы	6	3
82	одной из	2	3
83	в ней	10	3
84	на него	2	3
85	со стороны	5	3
86	все это	9	3
87	на фоне	3	3
88	с одной	4	3
89	чтобы не	2	3
90	так же	4	3
91	с другими	4	3
92	для других	2	3
93	и на	8	3
94	и это	2	3
95	в основе	3	2
96	жизни не	2	2
97	место в	7	2
98	еще одна	2	2
99	прежде чем	2	2
100	только не	2	2
101	т е	34	2
102	отнюдь не	6	2
103	его и	2	2
104	именно в	8	2
105	не как	4	2
106	и от	7	2
107	вовсе не	10	2
108	а как	2	2
109	или иного	3	2
110	со всей	3	2
111	не с	2	2
112	как мы	5	2
113	в строгом	2	2
114	они были	2	2
115	же как	2	2
116	одна из	2	2
117	и к	4	2
118	того или	2	2
119	в ряду	2	2
120	не по	3	2
121	к ней	2	2
122	на кого	2	2
123	до сих	6	2
124	один из	3	2
125	в нашем	2	2
126	оно не	4	2
127	все же	3	2
128	отношение к	3	2
129	вместе с	2	2
130	сих пор	6	2
131	приводит к	2	2
132	как на	4	2
133	здесь не	3	2
134	т п	4	2
135	т д	8	2
136	лишь в	8	2
137	тем самым	3	2
138	между ними	3	2
139	ни одного	2	2
140	хотя бы	5	2
141	с точки	13	2
142	точки зрения	16	2
143	могла бы	2	2
144	его в	3	2
145	роли в	3	2
146	но в	5	2
