N	2gram	Berdyaev_V_1	Sovremen
1	мы не	2	9
2	в этом	4	7
3	и в	16	7
4	и не	20	6
5	как и	4	6
6	прежде всего	2	5
7	все эти	3	5
8	как бы	5	4
9	нет и	2	4
10	жизни и	3	4
11	это не	2	4
12	а в	2	4
13	не только	2	4
14	в том	3	4
15	их в	3	4
16	так как	9	4
17	но мы	2	3
18	все это	5	3
19	в конце	3	3
20	в нем	4	3
21	а не	7	3
22	для нас	2	3
23	не в	3	3
24	одна из	2	3
25	еще не	8	3
26	и мы	3	3
27	и все	4	3
28	но в	3	3
29	и потому	7	3
30	не могут	2	2
31	и есть	4	2
32	и во	2	2
33	что все	4	2
34	уже не	2	2
35	и будет	3	2
36	и что	3	2
37	к чему	3	2
38	во всяком	2	2
39	могут быть	2	2
40	и они	3	2
41	что в	3	2
42	говорить о	4	2
43	тот же	3	2
44	в его	4	2
