N	2gram	Berdyaev_M_2	UchenyiS
1	и в	46	14
2	а не	13	10
3	не только	18	10
4	и не	18	8
5	прежде всего	12	8
6	то что	5	7
7	в этом	20	7
8	вот почему	2	7
9	не может	15	7
10	может быть	21	6
11	хотя бы	7	5
12	то же	5	5
13	но и	15	4
14	в этой	7	4
15	в россии	3	4
16	но в	10	3
17	как и	13	3
18	в своей	5	3
19	для этого	4	3
20	для него	18	3
21	это не	5	3
22	не о	2	3
23	у нас	11	3
24	том что	4	2
25	в том	3	2
26	с его	4	2
27	не есть	13	2
28	не в	9	2
29	и для	7	2
30	но это	8	2
31	бы и	5	2
32	если бы	3	2
33	не случайно	2	2
34	нас в	2	2
35	только в	3	2
36	и с	3	2
37	тем что	3	2
38	сих пор	3	2
39	что он	7	2
40	вопроса о	4	2
41	в себе	10	2
42	до сих	3	2
43	в конце	5	2
44	что все	5	2
45	в самом	5	2
46	по себе	2	2
47	превращается в	2	2
48	ничего не	2	2
49	что она	5	2
50	что и	4	2
51	в его	5	2
52	более чем	2	2
53	между тем	2	2
