N	2gram	Savitsky_P_1	Istorich
1	и в	14	22
2	в этом	10	17
3	и т	3	16
4	т е	3	16
5	что в	4	15
6	не только	17	14
7	но и	6	12
8	и не	12	12
9	и пр	5	11
10	может быть	5	11
11	но в	9	10
12	в нем	3	9
13	в том	9	9
14	с этим	2	8
15	том что	4	8
16	с другой	5	7
17	но не	3	7
18	то что	4	7
19	из них	2	7
20	мы должны	4	7
21	в них	2	6
22	это не	3	6
23	а в	4	6
24	то же	9	6
25	а не	2	6
26	если бы	4	6
27	не менее	2	5
28	в частности	2	5
29	того что	2	5
30	могут быть	3	5
31	не в	5	4
32	в пределах	8	4
33	только в	7	4
34	для нас	2	4
35	не может	4	4
36	и с	2	4
37	для них	2	3
38	прежде всего	3	3
39	в северной	2	3
40	стороны и	2	3
41	и к	4	3
42	и как	3	3
43	было бы	6	3
44	между прочим	2	3
45	в его	2	3
46	не будем	2	3
47	со стороны	2	3
48	с ними	3	3
49	потому что	3	3
50	в русской	4	3
51	и и	2	2
52	не было	2	2
53	с тем	3	2
54	и есть	2	2
55	друг другу	2	2
56	в жизни	2	2
57	а я	5	2
58	же в	4	2
59	в силу	2	2
60	одна из	2	2
61	с одной	3	2
62	в качестве	9	2
63	одной стороны	3	2
64	например в	2	2
65	и о	5	2
66	да и	2	2
67	хотя и	3	2
68	в ней	6	2
69	и потому	4	2
70	в котором	4	2
71	и это	2	2
72	в своем	4	2
73	еще более	2	2
74	и вот	2	2
75	в которых	5	2
76	в русском	2	2
77	между тем	3	2
78	в виде	2	2
79	точки зрения	3	2
80	в то	7	2
81	а также	4	2
