N	2gram	Kanaev_Sov_1	Psycholo
1	и в	7	38
2	в том	4	25
3	в самом	2	25
4	самом деле	2	21
5	что в	2	20
6	может быть	12	19
7	и что	2	18
8	что она	3	16
9	точки зрения	12	16
10	как бы	4	14
11	в этой	3	13
12	и мы	3	13
13	в этом	7	13
14	мы видим	2	12
15	было бы	3	12
16	не только	4	12
17	таким образом	11	12
18	не в	3	12
19	что это	2	10
20	то же	3	10
21	же самое	2	10
22	и не	6	10
23	и все	3	10
24	с точки	5	9
25	все же	3	8
26	с этим	2	8
27	в одном	3	8
28	для нас	3	8
29	как и	6	8
30	а не	3	7
31	мы можем	6	7
32	не может	17	7
33	как мы	2	7
34	а в	4	7
35	из них	4	6
36	мы видели	4	6
37	с самого	3	6
38	с одной	2	6
39	так как	4	6
40	если мы	4	6
41	к чему	2	6
42	самого начала	3	6
43	ясно что	3	6
44	на этом	2	5
45	совершенно не	2	5
46	вместе с	4	5
47	мы не	9	5
48	в его	2	5
49	так сказать	2	5
50	в которой	2	5
51	в свою	2	4
52	при этом	3	4
53	не можем	7	4
54	в нем	3	4
55	в целом	4	4
56	все эти	5	4
57	у всех	3	4
58	из которых	2	4
59	и даже	2	4
60	у него	2	4
61	одна из	3	4
62	в себе	3	4
63	каждого из	2	3
64	из этих	2	3
65	что все	2	3
66	из одного	2	3
67	и к	3	3
68	она может	2	3
69	конечно в	2	3
70	он приводит	2	3
71	тот же	2	3
72	в один	2	3
73	из двух	3	3
74	все это	3	3
75	то и	2	3
76	в таком	2	3
77	но в	3	3
78	не могут	2	2
79	видели что	3	2
80	можно назвать	2	2
81	отнюдь не	3	2
82	при таком	3	2
83	между собой	3	2
84	и во	2	2
85	который как	2	2
86	во всяком	2	2
87	уже не	2	2
88	у нас	3	2
89	такой же	2	2
90	свою очередь	2	2
91	со всеми	2	2
92	на их	2	2
93	в которую	2	2
94	всяком случае	2	2
95	все те	2	2
96	но мы	3	2
97	он может	3	2
98	не знаем	2	2
99	что же	5	2
100	по мнению	2	2
101	в виде	2	2
102	и наконец	5	2
103	и по	2	2
104	той же	2	2
105	в конце	3	2
106	их в	4	2
107	он в	3	2
108	когда мы	3	2
109	ничего не	6	2
