N	2gram	Medvedev_F_1	RusskieA
1	и в	24	36
2	не только	7	22
3	что в	4	19
4	а н	3	18
5	в том	6	17
6	т е	34	17
7	но и	7	16
8	в этом	15	12
9	это не	2	10
10	как мы	5	10
11	как и	11	10
12	и т	12	10
13	вместе с	2	10
14	и на	8	10
15	т д	8	9
16	а в	6	9
17	с тем	2	8
18	у нас	5	8
19	мы увидим	4	8
20	может быть	14	8
21	один из	3	8
22	как это	6	8
23	что и	2	7
24	так и	18	7
25	и других	3	7
26	между тем	2	7
27	и не	20	6
28	так например	3	6
29	при этом	5	6
30	в них	3	6
31	уже не	2	6
32	таким образом	13	6
33	мы не	3	6
34	все это	9	6
35	то что	8	6
36	все же	3	5
37	как бы	6	5
38	как в	8	5
39	к тому	3	4
40	по существу	2	4
41	одна из	2	4
42	еще не	6	4
43	связи с	3	4
44	еще в	2	4
45	и др	5	4
46	его с	2	4
47	во всех	5	4
48	и их	10	4
49	в их	11	4
50	в россии	3	4
51	не может	16	4
52	в связи	4	4
53	входит в	6	4
54	и что	2	4
55	того что	5	4
56	но это	3	4
57	только в	2	4
58	их на	2	4
59	не менее	11	3
60	в своем	11	3
61	но все	2	3
62	таким же	2	3
63	в одном	2	3
64	н веселовского	3	3
65	думать что	3	3
66	в свою	8	3
67	и к	4	3
68	не можем	2	3
69	только на	5	3
70	в основном	3	3
71	в настоящее	10	3
72	не с	2	3
73	или на	2	3
74	приводит к	2	3
75	то же	10	3
76	с точки	13	3
77	так же	4	3
78	и те	2	3
79	ко времени	2	3
80	ничего не	2	3
81	точки зрения	16	3
82	настоящее время	10	3
83	этого слова	3	3
84	в области	3	3
85	не было	3	2
86	всех этих	3	2
87	они были	2	2
88	и более	2	2
89	независимо от	4	2
90	в частности	4	2
91	в нашем	2	2
92	его и	2	2
93	с этим	2	2
94	и потому	9	2
95	в каждом	3	2
96	главным образом	4	2
97	на все	3	2
98	значение и	3	2
99	в различных	2	2
100	в нем	14	2
101	в жизни	3	2
102	нас не	2	2
103	и как	3	2
104	и непосредственно	3	2
105	свою очередь	6	2
106	но не	3	2
107	быть и	4	2
108	в большинстве	3	2
109	на западе	4	2
110	до конца	7	2
111	она не	6	2
112	но есть	2	2
113	отнюдь не	6	2
114	когда он	3	2
115	в ней	10	2
116	в его	23	2
117	и с	8	2
118	в целом	6	2
119	его как	3	2
120	значения и	2	2
121	и до	5	2
122	этой работы	2	2
123	для этого	4	2
124	не на	2	2
125	в особенности	3	2
126	все эти	6	2
127	на самом	7	2
128	в году	2	2
129	а не	10	2
130	и пр	17	2
131	направления в	6	2
132	с ним	2	2
133	в своих	2	2
134	к ней	2	2
135	и здесь	6	2
136	но в	5	2
137	большинстве случаев	2	2
