N	2gram	Nazirov_Tv_1	Literetu
1	и не	7	22
2	и в	21	16
3	в мире	4	16
4	при этом	7	15
5	не только	7	14
6	но и	3	14
7	в этом	6	14
8	а не	5	12
9	то что	8	12
10	может быть	5	12
11	в том	7	12
12	в частности	2	11
13	не в	2	10
14	своего рода	4	10
15	я и	3	10
16	то же	13	9
17	так и	2	9
18	того что	3	9
19	в то	15	9
20	в жизни	2	8
21	том что	11	8
22	не может	4	8
23	в этой	5	8
24	как бы	17	8
25	в своей	4	7
26	же время	12	7
27	тем самым	7	7
28	только в	5	7
29	с его	11	6
30	в стихах	2	6
31	с другой	3	6
32	к тому	2	6
33	в его	13	6
34	и его	6	6
35	в себе	2	6
36	о том	6	6
37	в качестве	2	5
38	это не	4	5
39	в году	7	5
40	что он	6	5
41	как и	12	5
42	соответствии с	3	5
43	в целом	4	5
44	вместе с	2	5
45	как в	8	5
46	в отличие	2	5
47	а в	6	5
48	именно в	2	5
49	в основе	2	5
50	что я	3	5
51	то есть	12	5
52	отличие от	2	5
53	место в	3	4
54	но не	3	4
55	никогда не	3	4
56	однако в	2	4
57	даже в	3	4
58	до конца	2	4
59	одним из	4	4
60	хотя и	3	4
61	из них	2	4
62	данном случае	2	4
63	жизни в	6	4
64	в данном	2	4
65	как будто	5	4
66	личности в	2	3
67	отнюдь не	5	3
68	прежде всего	4	3
69	а затем	2	3
70	в романе	10	3
71	в соответствии	3	3
72	и как	4	3
73	то в	2	3
74	мира в	2	3
75	на его	3	3
76	в самом	3	3
77	вслед за	2	3
78	еще в	2	3
79	и тем	2	3
80	с ее	3	3
81	жизни и	3	3
82	живой жизни	2	3
83	это как	3	3
84	уже не	3	3
85	самом деле	2	3
86	и наконец	2	3
87	на смену	2	3
88	той же	3	3
89	не случайно	4	3
90	потому что	5	3
91	самим собой	4	3
92	но в	7	3
93	что в	12	2
94	не менее	6	2
95	все более	2	2
96	быть может	2	2
97	в лице	2	2
98	одного из	2	2
99	я не	3	2
100	к этому	2	2
101	в нем	3	2
102	а по	2	2
103	вот в	2	2
104	того же	2	2
105	между людьми	2	2
106	в свою	7	2
107	для него	6	2
108	можно сказать	2	2
109	со всеми	3	2
110	что не	2	2
111	в первой	2	2
112	не могу	2	2
113	к жизни	2	2
114	герой в	2	2
115	один из	4	2
116	что и	2	2
117	все же	5	2
118	во второй	2	2
119	когда он	2	2
120	время в	3	2
121	в ту	3	2
122	во всей	2	2
123	так же	3	2
124	человека в	6	2
125	не означает	2	2
126	свободы и	2	2
127	слова из	2	2
128	от жизни	2	2
129	действительности в	2	2
130	в принципе	2	2
131	и даже	3	2
132	на свете	2	2
133	но без	2	2
134	в своих	5	2
135	и на	7	2
136	и с	3	2
137	эти слова	2	2
138	далеко не	3	2
139	xix века	6	2
140	представляет собой	3	2
141	не знает	2	2
142	в первом	2	2
143	ее в	3	2
144	русской литературы	2	2
