N	2gram	Losev_Prob_5	Analitik
1	в качестве	4	31
2	может быть	7	29
3	в том	12	27
4	не может	5	22
5	и не	12	21
6	в частности	4	19
7	и в	30	18
8	а не	5	17
9	но и	13	17
10	отнюдь не	4	15
11	не только	18	15
12	не в	7	14
13	как и	7	13
14	в его	12	13
15	в этом	17	13
16	том что	17	12
17	при этом	4	12
18	в себе	4	11
19	то есть	21	11
20	но не	7	10
21	то же	2	9
22	а в	6	9
23	в то	4	9
24	но в	9	8
25	к тому	2	7
26	это не	2	6
27	прежде всего	6	6
28	в самом	5	6
29	далеко не	4	6
30	то что	18	6
31	в своей	22	6
32	по отношению	2	6
33	точки зрения	10	6
34	по своей	2	6
35	только в	9	6
36	мы имеем	2	6
37	и как	6	5
38	в этой	10	5
39	что в	5	5
40	такого рода	2	5
41	как бы	6	5
42	отношению к	2	5
43	и его	6	5
44	между тем	2	5
45	и на	6	5
46	что иное	3	5
47	о том	12	5
48	иное как	3	5
49	того что	3	4
50	и более	2	4
51	с другой	6	4
52	не всегда	3	4
53	по себе	2	4
54	не что	3	4
55	ни в	4	4
56	того же	4	4
57	для того	3	4
58	в области	2	4
59	все же	9	4
60	вместе с	7	4
61	так и	7	4
62	именно в	3	4
63	уже не	6	4
64	с точки	8	4
65	в другом	3	4
66	с ним	3	4
67	том числе	2	3
68	по мысли	2	3
69	не могут	2	3
70	однако в	3	3
71	то ни	2	3
72	хотя бы	2	3
73	и все	9	3
74	в нем	6	3
75	и к	4	3
76	что он	7	3
77	в силу	5	3
78	еще не	3	3
79	одной стороны	3	3
80	что не	2	3
81	он не	3	3
82	в котором	2	3
83	что и	6	3
84	не будет	2	3
85	бы то	2	3
86	а именно	12	3
87	таким образом	13	3
88	а с	4	3
89	с одной	3	3
90	того чтобы	2	3
91	к нему	3	3
92	в таком	2	3
93	мере в	2	3
94	как будто	3	3
95	разного рода	4	3
96	будто бы	5	3
97	а также	3	3
98	таком случае	2	3
99	в противоположность	3	2
100	только для	2	2
101	и то	5	2
102	никогда не	7	2
103	все эти	2	2
104	в какой	2	2
105	и просто	2	2
106	тогда когда	4	2
107	не просто	5	2
108	была бы	2	2
109	представляет собою	2	2
110	вовсе не	8	2
111	или иных	2	2
112	рода и	2	2
113	что именно	2	2
114	можно сказать	6	2
115	тех или	2	2
116	в начале	3	2
117	художественное творчество	5	2
118	и сам	4	2
119	отношение к	2	2
120	было бы	4	2
121	несмотря на	6	2
122	на его	2	2
123	и о	5	2
124	и самого	3	2
125	в роли	2	2
126	и является	2	2
127	еще в	5	2
128	не все	2	2
129	один из	2	2
130	не к	2	2
131	из них	2	2
132	ли он	2	2
133	и до	2	2
134	данном случае	2	2
135	и тогда	2	2
136	который в	9	2
137	другой стороны	6	2
138	здесь не	7	2
139	бы не	3	2
140	самом деле	2	2
141	свидетельствует о	2	2
142	художественного творчества	8	2
143	едва ли	4	2
144	как мы	2	2
145	также и	12	2
146	является по	2	2
147	для себя	5	2
148	в данном	2	2
149	при помощи	6	2
150	так как	6	2
151	потому что	13	2
152	в которой	5	2
153	и с	5	2
154	мира в	3	2
