N	2gram	Tiupa_Disk_1	Mirosoze
1	и в	16	46
2	в нем	9	22
3	может быть	17	21
4	в этом	15	20
5	никогда не	2	18
6	для него	4	18
7	и не	11	18
8	не только	28	18
9	но и	14	15
10	не может	9	15
11	человека в	2	14
12	ведет к	3	13
13	как и	16	13
14	не есть	2	13
15	а не	22	13
16	прежде всего	11	12
17	потому что	4	12
18	не было	7	11
19	и он	2	11
20	но в	8	10
21	в себе	7	10
22	не в	7	9
23	и есть	2	8
24	как бы	5	8
25	в своем	6	8
26	отношение к	4	8
27	в этой	2	7
28	что он	4	7
29	и к	4	7
30	и потому	3	7
31	как в	10	7
32	хотя бы	3	7
33	того что	3	6
34	то же	7	5
35	в самом	3	5
36	один из	3	5
37	это не	3	5
38	и все	2	5
39	к тому	5	5
40	то что	5	5
41	в своей	5	5
42	и его	2	5
43	в его	7	5
44	что в	4	4
45	они и	3	4
46	они не	2	4
47	должны быть	3	4
48	также и	3	4
49	с его	4	4
50	в свою	3	4
51	том что	19	4
52	что и	3	4
53	себя в	2	4
54	так и	8	4
55	уже не	4	4
56	в каждом	2	3
57	в том	23	3
58	было в	2	3
59	жизни в	2	3
60	принадлежат к	3	3
61	в своих	3	3
62	и на	5	3
63	сказать что	3	3
64	по своей	11	3
65	о том	8	3
66	к которому	2	3
67	в них	4	3
68	к другому	2	3
69	и во	2	3
70	на смену	3	3
71	тем что	3	3
72	только в	7	3
73	есть в	2	3
74	уже в	2	2
75	не всегда	2	2
76	или иной	5	2
77	в действительности	3	2
78	на его	4	2
79	такого рода	4	2
80	хотя и	2	2
81	по отношению	9	2
82	как к	2	2
83	отношения к	2	2
84	лишь в	4	2
85	а в	5	2
86	к себе	2	2
87	в основе	7	2
88	точки зрения	3	2
89	между тем	4	2
90	на этом	2	2
91	по себе	3	2
92	связи с	4	2
93	и что	2	2
94	не от	2	2
95	в сущности	2	2
96	во всех	5	2
97	еще в	3	2
98	оно не	2	2
99	отношению к	9	2
100	что же	2	2
101	более чем	2	2
102	что не	4	2
103	тому как	3	2
104	подобно тому	2	2
