N	2gram	Vygotskiy__5	UchenyiS
1	и в	30	14
2	а не	8	10
3	не только	16	10
4	и не	6	8
5	прежде всего	4	8
6	то что	37	7
7	в этом	14	7
8	не может	9	7
9	в искусстве	6	6
10	может быть	11	6
11	хотя бы	3	5
12	художественное произведение	5	5
13	все это	2	5
14	и только	3	5
15	то же	7	5
16	но и	6	4
17	в этой	5	4
18	в их	3	4
19	с другой	9	4
20	но в	5	3
21	как и	6	3
22	и то	9	3
23	все же	7	3
24	в своей	4	3
25	в частности	4	3
26	произведения искусства	2	3
27	очевидно что	2	3
28	для этого	9	3
29	другой стороны	5	3
30	для него	3	3
31	это не	3	3
32	в то	2	3
33	не как	3	3
34	было бы	5	3
35	у нас	4	3
36	том что	21	2
37	но не	7	2
38	в том	27	2
39	художественной формы	3	2
40	является в	2	2
41	по существу	2	2
42	художественного произведения	3	2
43	мы не	3	2
44	с его	2	2
45	думается что	3	2
46	не есть	4	2
47	не в	8	2
48	и для	6	2
49	должна быть	2	2
50	этом смысле	2	2
51	о чем	4	2
52	если бы	11	2
53	только в	5	2
54	искусства как	4	2
55	и с	2	2
56	тем что	6	2
57	сих пор	5	2
58	при таком	3	2
59	материала и	5	2
60	могут быть	8	2
61	даже и	2	2
62	что он	17	2
63	вопроса о	2	2
64	в себе	5	2
65	как раз	13	2
66	до сих	5	2
67	формы и	3	2
68	что мы	11	2
69	же самое	5	2
70	в конце	4	2
71	могли бы	4	2
72	что все	6	2
73	этом отношении	3	2
74	в самом	14	2
75	не могут	3	2
76	по себе	7	2
77	сводится к	5	2
78	ничего не	2	2
79	самом деле	8	2
80	а как	2	2
81	что она	6	2
82	что и	3	2
83	в его	4	2
84	на первый	2	2
85	конце концов	2	2
86	таким образом	20	2
87	материал для	2	2
88	же не	2	2
89	художественном произведении	2	2
