N	2gram	Nazirov_Vr_1	Komedia
1	и в	8	26
2	и не	5	14
3	и его	3	12
4	в том	3	11
5	может быть	4	11
6	но и	7	10
7	в этом	8	10
8	что в	7	9
9	столь же	2	9
10	том что	3	9
11	вместе с	2	9
12	из них	2	7
13	не только	9	7
14	в своем	3	6
15	во время	2	6
16	то что	7	6
17	еще не	2	6
18	наряду с	3	6
19	в нем	6	6
20	в то	5	6
21	о том	4	6
22	таким образом	2	6
23	с его	3	5
24	к этому	3	5
25	что он	4	5
26	в истории	4	5
27	и с	6	5
28	место в	2	4
29	уже в	4	4
30	не менее	2	4
31	у него	5	4
32	в них	2	4
33	что у	3	4
34	же в	2	4
35	как и	6	4
36	в его	3	4
37	все же	6	4
38	в в	2	4
39	точки зрения	2	4
40	в начале	6	4
41	б и	2	4
42	его в	3	4
43	между тем	5	4
44	о чем	2	3
45	после смерти	2	3
46	в период	2	3
47	мы знаем	2	3
48	связи с	3	3
49	же время	5	3
50	для нас	4	3
51	в ней	4	3
52	в котором	6	3
53	речь идет	3	3
54	в своей	2	3
55	все это	4	3
56	в связи	3	3
57	то же	5	3
58	ответ на	2	3
59	не было	5	3
60	а в	2	3
61	человека в	3	3
62	тем что	3	3
63	не может	2	3
64	в этой	2	3
65	но в	6	3
66	отнюдь не	2	2
67	это не	4	2
68	в конце	3	2
69	с которым	2	2
70	об этом	5	2
71	он был	3	2
72	х годов	4	2
73	одна из	2	2
74	в это	2	2
75	одним из	3	2
76	он не	3	2
77	как бы	4	2
78	и это	2	2
79	в мире	2	2
80	после этого	2	2
81	отношение к	2	2
82	целый ряд	4	2
83	так в	2	2
84	в той	2	2
85	и что	8	2
86	и у	3	2
87	рядом с	2	2
88	в глазах	2	2
89	и во	3	2
90	и ее	2	2
91	на это	2	2
92	и все	7	2
93	в виду	4	2
94	же не	2	2
