N	2gram	Berdyaev_M_1	Sovremen
1	не может	28	17
2	точки зрения	4	12
3	может быть	30	12
4	в этом	20	7
5	и в	28	7
6	и не	11	6
7	как и	5	6
8	ничего не	3	6
9	прежде всего	10	5
10	все эти	2	5
11	как бы	2	4
12	нет и	5	4
13	жизни и	2	4
14	вместе с	6	4
15	это не	5	4
16	а в	4	4
17	вопрос о	2	4
18	не только	29	4
19	в том	6	4
20	так как	3	4
21	уже в	4	3
22	все же	2	3
23	может не	2	3
24	все это	6	3
25	отличается от	2	3
26	в конце	7	3
27	у всех	2	3
28	в нем	13	3
29	а не	25	3
30	и к	2	3
31	для нас	3	3
32	у нас	5	3
33	когда мы	2	3
34	не в	16	3
35	в этой	6	3
36	он в	2	3
37	было бы	10	3
38	и мы	2	3
39	и все	10	3
40	как он	2	3
41	в себе	7	3
42	но в	7	3
43	и потому	10	3
44	ведь это	2	3
45	только один	2	2
46	не могут	5	2
47	и есть	14	2
48	у него	17	2
49	приводит к	2	2
50	и во	2	2
51	уже не	4	2
52	в свою	2	2
53	и что	2	2
54	на этот	2	2
55	к чему	2	2
56	и по	4	2
57	он должен	3	2
58	она может	2	2
59	мы видим	2	2
60	на этом	3	2
61	могут быть	2	2
62	с этим	3	2
63	что в	10	2
64	в самом	11	2
65	в которой	6	2
66	в его	9	2
