N	2gram	Bakhtin_Fr_4	UchenyiS
1	и в	29	14
2	не только	10	10
3	и не	16	8
4	прежде всего	8	8
5	то что	4	7
6	в этом	11	7
7	не может	2	7
8	может быть	2	6
9	все это	4	5
10	то же	10	5
11	но и	9	4
12	в этой	13	4
13	в их	2	4
14	конечно не	4	4
15	с другой	4	4
16	но в	12	3
17	как и	12	3
18	и то	2	3
19	все же	3	3
20	в своей	5	3
21	в частности	3	3
22	же время	8	3
23	другой стороны	3	3
24	это не	5	3
25	в то	10	3
26	но конечно	3	2
27	том что	3	2
28	но не	2	2
29	в том	7	2
30	с его	4	2
31	всех этих	3	2
32	и для	2	2
33	но это	4	2
34	не столько	2	2
35	о чем	2	2
36	не случайно	3	2
37	только в	2	2
38	и с	9	2
39	тем что	4	2
40	его и	2	2
41	даже и	2	2
42	что он	4	2
43	все они	5	2
44	и у	2	2
45	в себе	3	2
46	как раз	2	2
47	формы и	2	2
48	в конце	9	2
49	на эту	3	2
50	превращается в	3	2
51	а как	2	2
52	в его	8	2
53	на первый	2	2
54	конце концов	4	2
55	таким образом	20	2
56	же не	2	2
