N	2gram	Ircho_Kome_3	DiskursI
1	в качестве	2	34
2	не только	5	28
3	в том	12	23
4	а не	4	22
5	том что	13	19
6	может быть	6	17
7	представляет собой	3	17
8	и в	22	16
9	как и	3	16
10	в этом	8	15
11	еще не	6	14
12	но и	4	14
13	при этом	7	13
14	прежде всего	5	11
15	и не	21	11
16	с другой	4	10
17	как в	2	10
18	далеко не	3	10
19	в частности	3	9
20	состоит в	2	9
21	в нем	3	9
22	отношению к	3	9
23	одной стороны	3	9
24	по отношению	5	9
25	не может	3	9
26	с одной	3	9
27	а также	2	8
28	отнюдь не	4	8
29	так и	4	8
30	о том	8	8
31	но в	5	8
32	в основе	2	7
33	в его	8	7
34	со стороны	11	7
35	то же	7	7
36	не было	2	7
37	роль в	2	7
38	в себе	4	7
39	не в	4	7
40	в своем	8	6
41	к тому	6	5
42	тому же	6	5
43	в силу	2	5
44	как бы	3	5
45	в котором	2	5
46	в своей	5	5
47	то что	4	5
48	во всех	2	5
49	а в	7	5
50	в их	2	5
51	в эпоху	2	5
52	отличие от	2	5
53	и на	2	5
54	с его	3	4
55	что в	5	4
56	не является	4	4
57	в них	3	4
58	не как	2	4
59	и к	3	4
60	что он	8	4
61	в целом	3	4
62	же время	5	4
63	одной из	3	4
64	связи с	5	4
65	на его	2	4
66	и о	2	4
67	отношение к	5	4
68	что не	3	4
69	в которых	5	4
70	потому что	10	4
71	между тем	2	4
72	для обозначения	2	3
73	однако в	4	3
74	того же	6	3
75	столь же	3	3
76	это не	2	3
77	но при	2	3
78	что и	8	3
79	в ее	3	3
80	свою очередь	6	3
81	по своему	3	3
82	в свою	7	3
83	с этим	3	3
84	в самом	9	3
85	при всей	2	3
86	к ним	3	3
87	один из	3	3
88	не с	2	3
89	хотя бы	4	3
90	все же	4	3
91	из них	5	3
92	ли не	2	3
93	таким образом	12	3
94	другой стороны	2	3
95	и даже	3	3
96	в своих	2	3
97	тем что	5	3
98	точки зрения	4	3
99	в то	6	3
100	известной степени	2	2
101	не менее	5	2
102	а о	2	2
103	никогда не	3	2
104	между собой	4	2
105	и без	2	2
106	в какой	3	2
107	к себе	5	2
108	а сам	2	2
109	и во	2	2
110	и все	2	2
111	в одном	2	2
112	одного из	3	2
113	на ее	3	2
114	это в	2	2
115	к этому	6	2
116	для понимания	2	2
117	стороны и	2	2
118	текста не	2	2
119	об этом	7	2
120	в г	2	2
121	в пределах	2	2
122	что с	2	2
123	в начале	3	2
124	в сущности	2	2
125	одним из	2	2
126	хотя и	5	2
127	а по	5	2
128	когда он	4	2
129	дело не	2	2
130	приводит к	3	2
131	за пределы	2	2
132	целый ряд	2	2
133	дело с	3	2
134	отношения к	2	2
135	уже в	2	2
136	человека в	2	2
137	то ли	4	2
138	как мы	2	2
139	не приходится	2	2
140	и что	6	2
141	более чем	5	2
142	х годов	2	2
143	исходя из	2	2
144	и он	2	2
145	и его	6	2
146	во всяком	3	2
147	что касается	2	2
148	на себя	4	2
149	и ее	2	2
150	в другом	2	2
151	же самое	3	2
152	в этой	3	2
153	едва ли	7	2
154	в виду	2	2
155	о чем	7	2
