N	3gram	Voloshinov_2	Problema
1	о том что	3	14
2	в таком случае	3	10
3	во всяком случае	2	10
4	по крайней мере	2	6
5	то же самое	5	5
6	с одной стороны	3	5
7	того или иного	2	5
8	в связи с	7	5
9	на то что	2	4
10	более или менее	2	4
11	до сих пор	3	4
12	в то же	8	4
13	в том что	6	4
14	одной стороны и	2	3
15	вовсе не является	3	3
16	не может быть	10	3
17	но и в	2	3
18	у нас не	2	2
19	с самого начала	5	2
20	для того чтобы	6	2
21	в самом деле	5	2
22	бы то ни	4	2
23	может быть и	5	2
24	и прежде всего	2	2
25	на самом деле	4	2
