N	2gram	Trubetskoy_1	Psycholo
1	то что	7	44
2	и в	26	33
3	в этом	15	28
4	как бы	12	25
5	и что	4	25
6	потому что	7	24
7	для того	5	23
8	может быть	10	22
9	том что	7	22
10	того чтобы	5	22
11	что в	9	21
12	в том	11	21
13	о том	6	20
14	что он	4	20
15	только что	2	15
16	что это	3	13
17	таким образом	22	13
18	и не	8	13
19	так же	5	13
20	сказать что	2	13
21	то есть	4	13
22	все это	6	13
23	к тому	6	12
24	в самом	4	12
25	и все	2	12
26	так как	9	12
27	что все	4	11
28	он не	4	11
29	на то	2	10
30	не может	4	10
31	в его	5	10
32	если бы	3	10
33	в этой	4	9
34	и если	3	9
35	то же	4	9
36	в конце	6	8
37	для этого	2	8
38	вместе с	15	8
39	в своем	3	7
40	так что	3	7
41	в нем	4	7
42	и только	4	7
43	не только	10	7
44	когда он	3	7
45	в самой	2	6
46	все эти	6	6
47	точки зрения	13	6
48	что мы	2	6
49	же самое	2	6
50	во время	4	6
51	как на	8	6
52	мы должны	6	6
53	а не	5	6
54	в себе	6	6
55	самого начала	2	5
56	никогда не	5	5
57	с самого	3	5
58	и как	3	5
59	целый ряд	4	5
60	и на	2	5
61	мы можем	2	5
62	ясно что	3	5
63	связь с	2	5
64	все же	6	5
65	и это	2	5
66	из этого	2	5
67	так например	2	4
68	друг с	5	4
69	из них	7	4
70	жизни и	2	4
71	а в	4	4
72	того что	3	4
73	либо в	2	4
74	с этой	3	4
75	с тем	18	4
76	с именем	2	4
77	к этому	3	4
78	и о	3	4
79	с точки	6	4
80	в таком	3	4
81	ее с	2	4
82	с другом	5	4
83	только в	4	4
84	в которой	3	4
85	же как	3	3
86	с одной	7	3
87	что оно	4	3
88	точно так	3	3
89	что именно	2	3
90	в мире	5	3
91	тому же	5	3
92	тот же	2	3
93	одной стороны	7	3
94	вслед за	2	3
95	но если	2	3
96	всяком случае	6	3
97	но и	9	3
98	конечно не	2	3
99	не было	2	3
100	в которых	4	3
101	и здесь	2	3
102	в то	4	3
103	должен был	4	3
104	при таком	2	3
105	в одном	3	3
106	но не	8	3
107	ли это	2	3
108	до сих	5	3
109	и из	2	3
110	конце концов	3	3
111	что и	6	3
112	сих пор	5	3
113	так и	6	3
114	и сейчас	2	3
115	из которых	4	3
116	и для	5	3
117	из этой	2	3
118	во всяком	6	3
119	в виде	4	3
120	далеко не	4	3
121	на этот	4	3
122	есть как	2	2
123	уже в	2	2
124	с другой	8	2
125	и от	4	2
126	из этих	10	2
127	на все	2	2
128	прежде всего	2	2
129	уже с	3	2
130	оно является	2	2
131	но все	7	2
132	же время	2	2
133	при этом	3	2
134	некоторые из	2	2
135	и является	2	2
136	в виду	2	2
137	в котором	4	2
138	взгляд на	2	2
139	один из	2	2
140	именно в	2	2
141	те же	2	2
142	образом в	5	2
143	и наконец	2	2
144	не имеет	5	2
145	его не	2	2
146	в результате	3	2
147	больше чем	2	2
148	и с	10	2
149	одно из	2	2
150	не в	2	2
151	и потому	6	2
152	на нее	3	2
153	мы имеем	2	2
154	но в	7	2
155	с его	2	2
156	только не	2	2
157	в них	2	2
158	надо было	2	2
159	и к	5	2
160	по существу	2	2
161	представляет собой	3	2
162	силы и	2	2
163	тем и	2	2
164	тех пор	2	2
165	можно сказать	3	2
166	во всех	2	2
167	большей частью	3	2
168	должно было	2	2
169	бы то	2	2
170	что эти	3	2
171	оказывается что	3	2
172	а с	7	2
173	хотя бы	3	2
174	на пути	2	2
175	ничем не	4	2
176	связи с	9	2
177	так чтобы	2	2
178	не потому	2	2
