N	2gram	Savitsky_P_1	Marksizm
1	может быть	5	28
2	и пр	5	25
3	и в	14	19
4	как бы	4	19
5	и не	12	19
6	не может	4	18
7	точки зрения	3	17
8	то же	9	16
9	в этом	10	15
10	не только	17	13
11	с точки	3	13
12	в нем	3	11
13	если бы	4	11
14	не в	5	10
15	в пределах	8	10
16	но и	6	10
17	том что	4	10
18	а не	2	9
19	отнюдь не	2	8
20	же время	7	8
21	в то	7	8
22	только в	7	8
23	в том	9	7
24	но в	9	7
25	прежде всего	3	7
26	одна из	2	7
27	в смысле	6	6
28	и как	3	6
29	между тем	3	6
30	во всех	2	6
31	для того	3	6
32	хотя бы	8	6
33	в его	2	5
34	тем более	2	5
35	отношении к	5	5
36	в отношении	10	4
37	это не	3	4
38	то что	4	4
39	и тем	2	4
40	того что	2	4
41	с ними	3	4
42	в русском	2	4
43	как раз	2	4
44	было бы	6	4
45	в себе	3	4
46	столь же	3	3
47	с другой	5	3
48	да и	2	3
49	одной стороны	3	3
50	в ней	6	3
51	в котором	4	3
52	а в	4	3
53	с этим	2	3
54	с одной	3	3
55	должно быть	2	3
56	не было	2	3
57	по себе	4	3
58	в ее	2	3
59	в качестве	9	3
60	не к	2	3
61	могут быть	3	3
62	и это	2	3
63	что в	4	2
64	из важнейших	2	2
65	в своем	4	2
66	отношения к	2	2
67	именно в	2	2
68	как на	2	2
69	и с	2	2
70	именно как	2	2
71	xix века	6	2
72	в начале	2	2
73	в жизни	2	2
74	стороны и	2	2
75	но не	3	2
76	и о	5	2
77	и потому	4	2
78	но к	2	2
79	еще более	2	2
80	сводится к	3	2
81	в значительной	2	2
82	мы не	3	2
83	является в	2	2
84	в виде	2	2
