N	2gram	Propp_Russ_2	Literetu
1	а не	4	20
2	и в	29	19
3	может быть	13	17
4	то же	4	12
5	в том	22	10
6	как и	11	10
7	но и	8	10
8	состоит в	15	9
9	не может	5	9
10	тогда как	2	9
11	в этом	11	9
12	в то	2	9
13	с другой	2	8
14	не только	10	8
15	том что	22	7
16	то что	5	7
17	с одной	2	7
18	не менее	2	6
19	одной стороны	2	6
20	при этом	6	6
21	и на	6	6
22	у нас	4	5
23	одна из	11	5
24	но не	5	5
25	в качестве	3	5
26	вместе с	6	5
27	так в	2	5
28	в году	3	5
29	того что	3	5
30	что в	22	4
31	жизни в	2	4
32	прежде всего	2	4
33	не в	4	4
34	еще в	2	4
35	один из	2	4
36	и других	3	4
37	так что	4	4
38	мы не	6	4
39	каждый из	2	4
40	тем что	3	4
41	никогда не	2	3
42	по существу	4	3
43	и как	2	3
44	одним из	2	3
45	в этой	3	3
46	во всех	3	3
47	том чтобы	2	3
48	не с	2	3
49	данном случае	7	3
50	а именно	3	3
51	в их	2	3
52	по земле	2	3
53	то и	4	3
54	и для	2	3
55	так как	13	3
56	право на	2	3
57	а в	9	3
58	и то	2	3
59	не столько	2	3
60	и с	10	3
61	в данном	6	3
62	на этом	3	2
63	не было	2	2
64	к жизни	5	2
65	же как	4	2
66	с тем	6	2
67	идут в	2	2
68	для этого	5	2
69	в них	4	2
70	с этой	2	2
71	а за	4	2
72	в виду	2	2
73	как уже	2	2
74	а также	4	2
75	для нас	6	2
76	этом случае	6	2
77	в ее	3	2
78	а затем	4	2
79	тем не	2	2
80	очевидно что	2	2
81	до конца	3	2
82	еще не	6	2
83	было бы	3	2
84	как бы	18	2
85	в руках	2	2
86	что и	2	2
87	все же	2	2
88	и т	5	2
89	же в	6	2
90	не к	2	2
91	из них	4	2
92	могут быть	2	2
93	уже не	4	2
94	и что	5	2
95	для того	6	2
96	из которых	2	2
97	друг друга	3	2
98	а к	2	2
99	в своих	2	2
100	потому что	5	2
101	одно из	2	2
102	подобно тому	3	2
103	на себя	2	2
104	под названием	2	2
105	и еще	2	2
106	с другим	2	2
107	о том	9	2
108	представляет собой	2	2
109	тому как	3	2
110	как это	4	2
111	в него	2	2
112	но в	5	2
