N	2gram	Losev_Dial_1	Russkaja
1	не может	12	22
2	и не	30	19
3	в том	9	17
4	в этом	12	17
5	и в	18	14
6	то что	13	13
7	то же	10	11
8	точки зрения	17	11
9	же время	4	10
10	но и	7	10
11	в то	6	10
12	том что	9	9
13	не только	13	9
14	в себе	11	9
15	с точки	12	9
16	может быть	17	9
17	во всяком	4	9
18	прежде всего	10	8
19	ни к	2	7
20	отнюдь не	9	7
21	к богу	3	7
22	к тому	4	7
23	самом деле	3	7
24	в данном	3	7
25	мы должны	5	7
26	о том	4	7
27	и с	5	7
28	если бы	12	6
29	на самом	3	6
30	что он	11	6
31	и при	2	6
32	для него	2	6
33	для того	2	6
34	всяком случае	2	6
35	если в	3	6
36	все это	11	6
37	в своем	5	6
38	и для	2	6
39	хотя бы	6	5
40	вопрос о	2	5
41	на то	5	5
42	или иной	3	5
43	до сих	2	5
44	было бы	12	5
45	конечно не	3	5
46	в своей	2	5
47	он не	3	5
48	никогда не	9	5
49	в нем	16	5
50	сих пор	2	5
51	а в	5	5
52	потому что	14	5
53	только в	3	5
54	а лишь	3	4
55	но не	4	4
56	что в	13	4
57	в мире	2	4
58	как и	2	4
59	более или	3	4
60	ли это	3	4
61	как бы	11	4
62	себе и	2	4
63	все же	5	4
64	жизни и	3	4
65	в корне	2	4
66	со стороны	2	4
67	или менее	3	4
68	что же	3	4
69	в их	3	4
70	на земле	2	4
71	точку зрения	3	4
72	не в	6	4
73	можно было	5	4
74	и то	9	4
75	во всем	2	4
76	в его	3	4
77	идет речь	2	4
78	так как	11	4
79	он сам	5	3
80	что это	11	3
81	именно в	2	3
82	из этих	2	3
83	в конце	4	3
84	при условии	3	3
85	о которых	2	3
86	всех этих	3	3
87	да и	6	3
88	и как	7	3
89	в другом	2	3
90	то в	7	3
91	что они	3	3
92	должно быть	3	3
93	в качестве	2	3
94	еще не	2	3
95	несмотря на	10	3
96	в самом	3	3
97	той или	7	3
98	но если	5	3
99	и потому	3	3
100	для этого	2	3
101	то это	4	3
102	что и	3	3
103	не есть	40	3
104	и т	21	3
105	из них	2	3
106	не было	6	3
107	что оно	5	3
108	и сейчас	2	3
109	того что	2	3
110	что для	3	3
111	в виде	2	3
112	говорить о	5	3
113	конце концов	3	3
114	и ни	6	3
115	в сознании	3	3
116	а с	2	2
117	будет в	2	2
118	сама по	8	2
119	нисколько не	4	2
120	и более	4	2
121	должна быть	3	2
122	и есть	16	2
123	в частности	2	2
124	друг другу	3	2
125	были бы	2	2
126	и от	2	2
127	с этим	2	2
128	точно так	2	2
129	ясно что	8	2
130	по себе	25	2
131	ни в	15	2
132	уже не	2	2
133	так что	15	2
134	чтобы понять	3	2
135	это есть	9	2
136	но это	8	2
137	является не	2	2
138	от него	4	2
139	есть и	5	2
140	указывает на	3	2
141	отличается от	2	2
142	она не	6	2
143	совершенно не	8	2
144	свое учение	2	2
145	и о	3	2
146	в ней	3	2
147	и является	2	2
148	помнить что	2	2
149	в котором	4	2
150	отношении к	3	2
151	для нее	2	2
152	быть и	4	2
153	но она	3	2
154	даже не	3	2
155	– не	11	2
156	и тогда	2	2
157	тому что	3	2
158	даже если	3	2
159	отношения к	3	2
160	все эти	2	2
161	и состоит	2	2
162	не просто	7	2
163	и вот	6	2
164	только на	3	2
165	и что	12	2
166	а не	14	2
167	что такое	10	2
168	и даже	13	2
169	к нему	8	2
170	так же	4	2
171	мы можем	4	2
172	не о	4	2
173	даже и	3	2
174	говоря о	2	2
175	значило бы	2	2
176	ни от	2	2
177	в этих	5	2
178	только с	3	2
179	с ним	6	2
180	но в	6	2
