N	3gram	Vinokur_Ku_3	Dialekti
1	и т д	8	15
2	с точки зрения	16	8
3	сама по себе	2	7
4	в том что	8	6
5	то или иное	2	4
6	о том что	3	4
7	только то что	2	4
8	с другой стороны	3	4
9	только тогда когда	4	4
10	в связи с	4	4
11	в самом деле	11	3
12	сам по себе	3	3
13	в таком случае	2	3
14	не может быть	3	3
15	принять во внимание	2	3
16	в данном случае	4	2
17	в зависимости от	7	2
18	более или менее	2	2
19	не только в	3	2
20	не могут быть	2	2
21	тем не менее	9	2
22	и т п	41	2
23	ни в какой	2	2
24	не говоря уже	2	2
25	до сих пор	8	2
26	говоря уже о	2	2
27	в той или	2	2
28	от того что	2	2
