N	2gram	Vinokur_Vv_1	RusskieA
1	и в	27	29
2	т е	38	24
3	что в	11	22
4	том что	26	22
5	в том	31	22
6	как бы	5	18
7	состоит в	2	15
8	может быть	24	13
9	так как	13	13
10	как и	5	11
11	одна из	2	11
12	в этом	34	11
13	все это	6	10
14	в этот	2	10
15	е в	4	10
16	и с	2	10
17	не только	21	10
18	о том	15	9
19	а в	5	9
20	но и	5	8
21	его в	6	8
22	мы видели	2	7
23	данном случае	5	7
24	представляют собой	6	7
25	с тем	6	6
26	мы не	2	6
27	этом случае	6	6
28	еще не	4	6
29	для того	21	6
30	вместе с	6	6
31	таким образом	19	6
32	при этом	3	6
33	того чтобы	21	6
34	и на	3	6
35	в данном	11	6
36	на нее	2	6
37	мы имеем	3	6
38	потому что	14	5
39	это не	8	5
40	к этому	3	5
41	должна была	2	5
42	то что	17	5
43	и что	4	5
44	но не	7	5
45	с ней	2	5
46	для этого	3	5
47	и т	43	5
48	не может	13	5
49	или же	3	5
50	т д	37	5
51	будто бы	2	5
52	но в	10	5
53	именно в	8	4
54	о чем	4	4
55	в них	4	4
56	тогда когда	3	4
57	вопрос о	8	4
58	уже не	5	4
59	по существу	2	4
60	так что	5	4
61	не в	8	4
62	этих случаях	2	4
63	из них	3	4
64	к нему	2	4
65	же как	3	4
66	том же	2	4
67	а также	3	4
68	или вообще	5	4
69	так же	3	4
70	то же	8	4
71	у нас	2	4
72	а не	3	4
73	в которых	6	4
74	в виде	4	4
75	как это	5	4
76	на этом	3	3
77	тем что	6	3
78	должен был	4	3
79	в этих	3	3
80	в качестве	7	3
81	и других	3	3
82	как например	5	3
83	в ее	11	3
84	что здесь	2	3
85	до конца	3	3
86	того что	12	3
87	было бы	5	3
88	что она	3	3
89	но если	3	3
90	в и	4	3
91	в котором	4	3
92	не имеет	4	3
93	во всех	2	3
94	а именно	6	3
95	в отличие	3	3
96	все эти	3	3
97	как мы	9	3
98	между тем	8	3
99	xix в	12	3
100	в этой	3	3
101	что это	3	3
102	отличие от	3	3
103	не менее	8	2
104	с этой	4	2
105	связь между	4	2
106	связи с	3	2
107	об этом	5	2
108	могут быть	4	2
109	никогда не	3	2
110	по этому	2	2
111	о них	2	2
112	с другой	8	2
113	не столько	2	2
114	из этих	5	2
115	это в	2	2
116	прежде всего	8	2
117	как уже	2	2
118	из наиболее	4	2
119	не что	4	2
120	что и	3	2
121	что с	3	2
122	в г	5	2
123	говорит о	3	2
124	и как	9	2
125	одним из	5	2
126	и при	2	2
127	чем в	3	2
128	совсем не	3	2
129	после того	2	2
130	одной стороны	4	2
131	только как	6	2
132	для объяснения	2	2
133	тем не	8	2
134	в виду	4	2
135	как оно	3	2
136	один из	6	2
137	должен быть	4	2
138	не с	2	2
139	все же	8	2
140	в своей	4	2
141	не к	2	2
142	после этого	2	2
143	ее от	2	2
144	том чтобы	6	2
145	дело не	3	2
146	в форме	2	2
147	в их	11	2
148	вряд ли	2	2
149	этому поводу	2	2
150	тогда как	2	2
151	того как	3	2
152	с одной	4	2
153	в течение	5	2
154	этот вопрос	4	2
155	из которых	2	2
156	и для	4	2
157	должно быть	2	2
158	можно было	7	2
159	каждый из	2	2
160	в своих	2	2
161	и то	5	2
162	которое в	2	2
163	в руки	6	2
164	одно из	5	2
165	с этим	2	2
166	и ее	4	2
167	что иное	4	2
168	во всем	2	2
169	в то	5	2
170	так чтобы	3	2
171	представляет собой	12	2
172	но вместе	2	2
173	когда мы	2	2
174	иное как	5	2
