N	2gram	Tiupa_Disk_1	Otkroven
1	и в	16	19
2	но и	14	13
3	и не	11	13
4	в этом	15	12
5	а не	22	11
6	не в	7	11
7	человека в	2	11
8	может быть	17	11
9	не только	28	11
10	и все	2	10
11	в нем	9	10
12	никогда не	2	9
13	не было	7	9
14	потому что	4	9
15	прежде всего	11	9
16	и он	2	8
17	он всегда	2	7
18	лишь в	4	7
19	в его	7	7
20	как и	16	6
21	то что	5	5
22	а в	5	5
23	отношение к	4	5
24	в том	23	5
25	для него	4	5
26	в этой	2	5
27	в самом	3	5
28	с его	4	4
29	что не	4	4
30	и его	2	4
31	не может	9	4
32	что в	4	4
33	и есть	2	3
34	мысли и	2	3
35	это не	3	3
36	что он	4	3
37	различие между	2	3
38	того что	3	3
39	хотя бы	3	3
40	в своих	3	3
41	еще не	14	3
42	могут быть	4	3
43	и ее	2	3
44	в себе	7	3
45	когда он	2	3
46	о том	8	3
47	как бы	5	3
48	это было	2	3
49	уже в	2	2
50	все же	3	2
51	что и	3	2
52	не есть	2	2
53	в истории	4	2
54	так и	8	2
55	жизни в	2	2
56	в своем	6	2
57	что же	2	2
58	как к	2	2
59	к этому	2	2
60	по себе	3	2
61	и к	4	2
62	в ее	3	2
63	том что	19	2
64	в другом	2	2
65	и на	5	2
66	сказать что	3	2
67	тем что	3	2
68	в своей	5	2
69	и о	4	2
70	хотя и	2	2
71	но в	8	2
72	и потому	3	2
