N	2gram	Propp_Isto_2	Poddanst
1	не только	18	17
2	и в	15	14
3	и не	11	12
4	в этом	11	10
5	то же	10	9
6	в том	6	9
7	в качестве	3	9
8	но в	6	9
9	хотя бы	2	8
10	только в	6	7
11	но и	14	6
12	в ней	4	6
13	было бы	5	6
14	с другой	2	5
15	не в	7	5
16	в которых	2	5
17	и пр	7	5
18	может быть	17	5
19	в котором	5	4
20	то что	12	4
21	что в	12	4
22	не может	5	4
23	а в	12	4
24	том что	7	4
25	мы должны	4	4
26	и если	2	4
27	в русской	5	4
28	а также	2	4
29	как бы	6	4
30	в нем	7	3
31	и т	19	3
32	с тем	9	3
33	это не	2	3
34	с одной	4	3
35	т е	29	3
36	прежде всего	5	3
37	тем самым	2	3
38	мы не	3	3
39	с ними	2	3
40	но не	2	3
41	могут быть	2	3
42	в себе	4	3
43	что мы	3	3
44	одной стороны	3	3
45	наряду с	6	3
46	потому что	9	3
47	именно в	2	2
48	и есть	5	2
49	во всех	2	2
50	не будем	4	2
51	в северной	2	2
52	все это	3	2
53	не столько	2	2
54	в тот	2	2
55	с этим	5	2
56	в жизни	2	2
57	между прочим	3	2
58	главным образом	2	2
59	пути в	2	2
60	а не	5	2
61	того что	3	2
62	к чему	2	2
63	для нас	4	2
64	в русском	2	2
65	и пусть	2	2
66	одна из	2	2
67	в силу	2	2
68	не было	2	2
69	из них	2	2
70	например в	2	2
71	и это	3	2
72	да и	2	2
73	в эту	2	2
74	в его	6	2
75	и с	4	2
