N	2gram	Propp_Russ_1	Komedia
1	и в	36	22
2	и не	6	21
3	т е	17	16
4	в дом	2	14
5	том что	19	13
6	в том	17	12
7	таким образом	6	12
8	так как	15	11
9	в доме	2	10
10	потому что	10	10
11	вместе с	10	9
12	в своем	3	8
13	к ней	2	8
14	в его	2	8
15	что и	7	8
16	в этом	12	8
17	о том	8	8
18	о чем	3	7
19	об этом	9	7
20	при этом	6	7
21	в свою	3	7
22	то же	3	7
23	а в	9	7
24	во время	14	6
25	к этому	4	6
26	свою очередь	2	6
27	еще не	4	6
28	к тому	4	6
29	может быть	8	6
30	и что	4	6
31	так что	2	6
32	не менее	3	5
33	связи с	4	5
34	что в	19	5
35	как это	8	5
36	хотя и	2	5
37	не только	22	5
38	из них	8	5
39	все это	6	5
40	тем что	4	5
41	в которых	5	5
42	с ним	2	5
43	но в	2	5
44	с тем	8	4
45	но все	3	4
46	у него	2	4
47	отнюдь не	2	4
48	между собой	2	4
49	и здесь	2	4
50	он был	2	4
51	все же	5	4
52	совпадают с	3	4
53	до конца	2	4
54	несмотря на	3	4
55	в ней	2	4
56	и т	10	4
57	то что	6	4
58	когда он	2	4
59	но и	16	4
60	что она	2	4
61	а не	2	4
62	и для	2	4
63	так же	3	4
64	тут же	2	4
65	точки зрения	3	4
66	на себя	2	4
67	в связи	4	4
68	так и	7	4
69	и поэтому	2	4
70	и с	2	4
71	в частности	2	3
72	в них	6	3
73	в какой	2	3
74	с этим	2	3
75	в нем	2	3
76	далеко не	3	3
77	и к	3	3
78	тем не	3	3
79	как и	10	3
80	чем в	2	3
81	к ним	3	3
82	на этот	3	3
83	должно было	2	3
84	как бы	5	3
85	один из	8	3
86	в целом	2	3
87	судя по	2	3
88	приводит к	3	3
89	не может	4	3
90	в течение	5	3
91	с точки	3	3
92	не имеет	6	3
93	в других	11	3
94	их в	3	3
95	он так	2	3
96	мы можем	2	3
97	представляет собой	4	3
98	как он	2	3
99	ничего не	3	3
100	только для	2	2
101	до того	2	2
102	состоит в	8	2
103	себя и	2	2
104	в качестве	3	2
105	как в	5	2
106	это не	10	2
107	для обозначения	2	2
108	в одном	3	2
109	представление о	3	2
110	в образе	2	2
111	этом случае	5	2
112	его от	2	2
113	в г	4	2
114	по существу	4	2
115	такое же	2	2
116	в силу	2	2
117	что они	7	2
118	она не	2	2
119	что ему	2	2
120	в и	17	2
121	не совсем	4	2
122	а также	3	2
123	ii в	2	2
124	представляют собой	7	2
125	не с	3	2
126	после этого	4	2
127	во всех	4	2
128	в уже	3	2
129	в их	4	2
130	как мы	10	2
131	вплоть до	4	2
132	не было	2	2
133	мы не	6	2
134	после чего	2	2
135	в своих	2	2
136	и на	10	2
137	тому что	4	2
138	между тем	7	2
139	г в	4	2
140	вывод что	3	2
141	видно что	6	2
142	е в	8	2
143	в области	3	2
